sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
60285020,35,0,1966110,42465,1923645,0,0,1965561,1965561
60295319,11,0,1966117,42466,1923651,0,0,1965568,1965568
60297855,31,0,1966109,42659,1923450,0,0,1965561,1965561
60311529,25,0,1966110,42465,1923645,0,0,1965561,1965561
60321419,39,0,1966110,42465,1923645,0,0,1965561,1965561
60324283,40,0,1966110,42465,1923645,0,0,1965561,1965561
60326910,4,0,1966126,42452,1923674,0,0,1965577,1965577
60335267,37,0,1966110,42510,1923600,0,0,1965561,1965561
60336079,12,0,1966117,42926,1923191,0,0,1965568,1965568
60378205,18,0,1966110,42465,1923645,0,0,1965561,1965561
60408421,10,0,1966117,42466,1923651,0,0,1965568,1965568
60408781,19,0,1966110,42465,1923645,0,0,1965561,1965561
60431287,34,0,1966110,42465,1923645,0,0,1965561,1965561
60443070,27,0,1966110,42466,1923644,0,0,1965561,1965561
60450132,1,0,1966198,1966198,0,0,11114,101770,112884
60459714,23,0,1966110,42560,1923550,0,0,1965561,1965561
60461502,28,0,1966110,42511,1923599,0,0,1965561,1965561
60492559,20,0,1966110,42607,1923503,0,0,1965561,1965561
60503001,15,0,1966117,42579,1923538,0,0,1965568,1965568
60557516,7,0,1966126,42452,1923674,0,0,1965577,1965577
60636989,32,0,1966110,42465,1923645,0,0,1965561,1965561
60660359,5,0,1966126,43119,1923007,0,0,1965577,1965577
60702532,38,0,1966110,43102,1923008,0,0,1965561,1965561
60713041,21,0,1966117,87105,1879012,0,6657,87182,93839
60802662,41,0,1966110,42465,1923645,0,0,1965561,1965561
60808970,9,0,1966126,42452,1923674,0,0,1965577,1965577
60854935,36,0,1966110,42465,1923645,0,0,1965561,1965561
60861734,8,0,1966126,42452,1923674,0,0,1965577,1965577
60901845,16,0,1966110,42465,1923645,0,0,1965561,1965561
60940295,14,0,1966125,61112,1905013,0,6311,73747,80058
60956078,6,0,1966126,42509,1923617,0,0,1965577,1965577
61061242,22,0,1966118,98417,1867701,0,6846,76101,82947
61086307,30,0,1966116,77094,1889022,0,7045,73609,80654
61093481,17,0,1966110,42465,1923645,0,0,1965561,1965561
61096013,3,0,1966126,42452,1923674,0,0,1965577,1965577
61112673,24,0,1966110,42465,1923645,0,0,1965561,1965561
61119866,13,0,1966124,80758,1885366,0,6236,71324,77560
61149252,29,0,1966117,92894,1873223,0,7067,72907,79974
61179731,2,0,1966126,42452,1923674,0,0,1965577,1965577
61197774,26,0,1966110,42466,1923644,0,0,1965561,1965561
61233820,33,0,1966110,42465,1923645,0,0,1965561,1965561
120285018,35,1,1966080,43800,1922280,0,0,1966080,1966080
120295317,11,1,1966080,43821,1922259,0,0,1966080,1966080
120297853,31,1,1966080,44015,1922065,0,0,1966080,1966080
120311527,25,1,1966080,43799,1922281,0,0,1966080,1966080
120321417,39,1,1966080,43841,1922239,0,0,1966080,1966080
120324281,40,1,1966080,43799,1922281,0,0,1966080,1966080
120326908,4,1,1966080,43866,1922214,0,0,1966080,1966080
120335265,37,1,1966080,43880,1922200,0,0,1966080,1966080
120339577,12,1,1966092,57763,1908329,0,2940,1225800,1228740
120378203,18,1,1966080,43799,1922281,0,0,1966080,1966080
120408419,10,1,1966080,43799,1922281,0,0,1966080,1966080
120408779,19,1,1966080,43799,1922281,0,0,1966080,1966080
120431285,34,1,1966080,43800,1922280,0,0,1966080,1966080
120443068,27,1,1966080,43799,1922281,0,0,1966080,1966080
120459712,23,1,1966080,43799,1922281,0,0,1966080,1966080
120461500,28,1,1966080,43836,1922244,0,0,1966080,1966080
120458139,1,1,1966095,1966095,0,0,8106,134613,142719
120492557,20,1,1966080,43928,1922152,0,0,1966080,1966080
120502999,15,1,1966080,43861,1922219,0,0,1966080,1966080
120557514,7,1,1966080,43787,1922293,0,0,1966080,1966080
120636987,32,1,1966080,43800,1922280,0,0,1966080,1966080
120660579,5,1,1966087,53477,1912610,0,3183,701288,704471
120702752,38,1,1966087,55870,1910217,0,3873,751102,754975
120713001,21,1,1966079,75408,1890671,0,3962,56318,60280
120802660,41,1,1966080,43799,1922281,0,0,1966080,1966080
120808968,9,1,1966080,43787,1922293,0,0,1966080,1966080
120854933,36,1,1966080,43800,1922280,0,0,1966080,1966080
120861732,8,1,1966080,43787,1922293,0,0,1966080,1966080
120901843,16,1,1966080,43799,1922281,0,0,1966080,1966080
120940286,14,1,1966079,51175,1914904,0,3453,50736,54189
120956076,6,1,1966080,43787,1922293,0,0,1966080,1966080
121061202,22,1,1966078,60737,1905341,0,4196,56177,60373
121087067,30,1,1966105,78695,1887410,0,5450,63978,69428
121093479,17,1,1966080,43799,1922281,0,0,1966080,1966080
121096011,3,1,1966080,43787,1922293,0,0,1966080,1966080
121112671,24,1,1966080,43799,1922281,0,0,1966080,1966080
121116607,13,1,1966079,90149,1875930,0,6110,67474,73584
121149202,29,1,1966079,59099,1906980,0,4094,55617,59711
121179729,2,1,1966080,43787,1922293,0,0,1966080,1966080
121197772,26,1,1966080,43799,1922281,0,0,1966080,1966080
121233818,33,1,1966080,43800,1922280,0,0,1966080,1966080
180285018,35,2,1966080,43689,1922391,0,0,1966080,1966080
180295317,11,2,1966080,44292,1921788,0,0,1966080,1966080
180297853,31,2,1966080,44216,1921864,0,0,1966080,1966080
180311527,25,2,1966080,43689,1922391,0,0,1966080,1966080
180321417,39,2,1966080,44369,1921711,0,0,1966080,1966080
180324281,40,2,1966080,43689,1922391,0,0,1966080,1966080
180326908,4,2,1966080,44437,1921643,0,0,1966080,1966080
180336249,12,2,1966074,47092,1918982,0,4562,54391,58953
180335486,37,2,1966087,65290,1900797,0,2278,1300241,1302519
180378203,18,2,1966080,43689,1922391,0,0,1966080,1966080
180408419,10,2,1966080,43689,1922391,0,0,1966080,1966080
180408779,19,2,1966080,43689,1922391,0,0,1966080,1966080
180431285,34,2,1966080,43689,1922391,0,0,1966080,1966080
180443068,27,2,1966080,43689,1922391,0,0,1966080,1966080
180445036,1,2,1966029,1966029,0,0,8528,135762,144290
180459712,23,2,1966080,43986,1922094,0,0,1966080,1966080
180461500,28,2,1966080,43747,1922333,0,0,1966080,1966080
180492557,20,2,1966080,44171,1921909,0,0,1966080,1966080
180502999,15,2,1966080,44265,1921815,0,0,1966080,1966080
180557514,7,2,1966080,43678,1922402,0,0,1966080,1966080
180636987,32,2,1966080,43689,1922391,0,0,1966080,1966080
180664660,5,2,1966079,47717,1918362,0,4678,54277,58955
180702712,38,2,1966079,54198,1911881,0,5181,55428,60609
180713002,21,2,1966080,67235,1898845,0,3277,55728,59005
180802660,41,2,1966080,43689,1922391,0,0,1966080,1966080
180808968,9,2,1966080,43678,1922402,0,0,1966080,1966080
180854933,36,2,1966080,43997,1922083,0,0,1966080,1966080
180861732,8,2,1966080,43678,1922402,0,0,1966080,1966080
180901843,16,2,1966080,43689,1922391,0,0,1966080,1966080
180940254,14,2,1966079,41491,1924588,0,2848,50665,53513
180956076,6,2,1966080,44224,1921856,0,0,1966080,1966080
181061233,22,2,1966081,57733,1908348,0,3348,55239,58587
181086278,30,2,1966054,85254,1880800,0,6306,76321,82627
181093479,17,2,1966080,43689,1922391,0,0,1966080,1966080
181096011,3,2,1966080,43678,1922402,0,0,1966080,1966080
181112671,24,2,1966080,43689,1922391,0,0,1966080,1966080
181116617,13,2,1966080,109902,1856178,0,8434,96233,104667
181149212,29,2,1966080,66589,1899491,0,3814,55819,59633
181179729,2,2,1966080,43678,1922402,0,0,1966080,1966080
181197772,26,2,1966080,43689,1922391,0,0,1966080,1966080
181233818,33,2,1966080,43689,1922391,0,0,1966080,1966080
240285018,35,3,1966080,43692,1922388,0,0,1966080,1966080
240295317,11,3,1966080,44115,1921965,0,0,1966080,1966080
240297853,31,3,1966080,44318,1921762,0,0,1966080,1966080
240311527,25,3,1966080,43691,1922389,0,0,1966080,1966080
240324281,40,3,1966080,43691,1922389,0,0,1966080,1966080
240321429,39,3,1966081,38377,1927704,0,28,1101517,1101545
240327728,4,3,1966107,62332,1903775,0,3143,1166869,1170012
240335486,37,3,1966080,52197,1913883,0,4697,52785,57482
240339805,12,3,1966097,72252,1893845,0,6569,65930,72499
240378203,18,3,1966080,43691,1922389,0,0,1966080,1966080
240408419,10,3,1966080,43691,1922389,0,0,1966080,1966080
240408779,19,3,1966080,44146,1921934,0,0,1966080,1966080
240431285,34,3,1966080,43692,1922388,0,0,1966080,1966080
240443068,27,3,1966080,43691,1922389,0,0,1966080,1966080
240459712,23,3,1966080,43965,1922115,0,0,1966080,1966080
240461500,28,3,1966080,44265,1921815,0,0,1966080,1966080
240445014,1,3,1966080,1966080,0,0,8724,137761,146485
240492779,20,3,1966087,58813,1907274,0,3392,1101276,1104668
240502999,15,3,1966080,43847,1922233,0,0,1966080,1966080
240557514,7,3,1966080,43698,1922382,0,0,1966080,1966080
240636987,32,3,1966080,43692,1922388,0,0,1966080,1966080
240664404,5,3,1966080,50186,1915894,0,3677,53887,57564
240702712,38,3,1966080,67837,1898243,0,5827,61779,67606
240716754,21,3,1966080,67842,1898238,0,3352,56612,59964
240802660,41,3,1966080,43691,1922389,0,0,1966080,1966080
240808968,9,3,1966080,43698,1922382,0,0,1966080,1966080
240854972,36,3,1966081,44892,1921189,0,28,1941659,1941687
240861732,8,3,1966080,43698,1922382,0,0,1966080,1966080
240901843,16,3,1966080,43691,1922389,0,0,1966080,1966080
240940292,14,3,1966081,35925,1930156,0,2412,49774,52186
240956076,6,3,1966080,44546,1921534,0,0,1966080,1966080
241061195,22,3,1966079,52570,1913509,0,3290,55212,58502
241093479,17,3,1966080,43691,1922389,0,0,1966080,1966080
241096011,3,3,1966080,43960,1922120,0,0,1966080,1966080
241089912,30,3,1966098,71941,1894157,0,6702,77448,84150
241112671,24,3,1966080,43691,1922389,0,0,1966080,1966080
241116617,13,3,1966080,95494,1870586,0,9397,98274,107671
241152979,29,3,1966204,63911,1902293,0,3391,55839,59230
241179729,2,3,1966080,43698,1922382,0,0,1966080,1966080
241197772,26,3,1966080,43691,1922389,0,0,1966080,1966080
241233818,33,3,1966080,43692,1922388,0,0,1966080,1966080
300285018,35,4,1966080,44061,1922019,0,0,1966080,1966080
300295317,11,4,1966080,44726,1921354,0,0,1966080,1966080
300298079,31,4,1966087,77456,1888631,0,5789,169330,175119
300311527,25,4,1966080,44000,1922080,0,0,1966080,1966080
300324281,40,4,1966080,44461,1921619,0,0,1966080,1966080
300321638,39,4,1966086,77115,1888971,0,5823,56391,62214
300327091,4,4,1966059,57373,1908686,0,4428,55292,59720
300335454,37,4,1966079,88153,1877926,0,6540,72903,79443
300336250,12,4,1966063,88070,1877993,0,8154,94604,102758
300378203,18,4,1966080,44304,1921776,0,0,1966080,1966080
300408419,10,4,1966080,44000,1922080,0,0,1966080,1966080
300409001,19,4,1966087,47911,1918176,0,2377,502100,504477
300431285,34,4,1966080,44000,1922080,0,0,1966080,1966080
300443068,27,4,1966080,44193,1921887,0,0,1966080,1966080
300445008,1,4,1966079,1966079,0,0,10285,142516,152801
300459712,23,4,1966080,44360,1921720,0,0,1966080,1966080
300461721,28,4,1966087,78897,1887190,0,4864,505849,510713
300492739,20,4,1966079,71771,1894308,0,5265,58434,63699
300503220,15,4,1966087,54488,1911599,0,2079,1204148,1206227
300557514,7,4,1966080,44297,1921783,0,0,1966080,1966080
300636987,32,4,1966080,44447,1921633,0,0,1966080,1966080
300660549,5,4,1966080,52492,1913588,0,3869,55598,59467
300702712,38,4,1966080,115754,1850326,0,10417,94678,105095
300713001,21,4,1966080,67169,1898911,0,3271,55493,58764
300802660,41,4,1966080,44000,1922080,0,0,1966080,1966080
300808968,9,4,1966080,43986,1922094,0,0,1966080,1966080
300855155,36,4,1966086,87891,1878195,0,7004,65336,72340
300861732,8,4,1966080,43986,1922094,0,0,1966080,1966080
300901843,16,4,1966080,44356,1921724,0,0,1966080,1966080
300940286,14,4,1966080,45874,1920206,0,3220,50425,53645
300956076,6,4,1966080,44630,1921450,0,0,1966080,1966080
301061184,22,4,1966080,64342,1901738,0,2614,54327,56941
301086258,30,4,1966062,131207,1834855,0,12360,99059,111419
301093479,17,4,1966080,44000,1922080,0,0,1966080,1966080
301096011,3,4,1966080,44133,1921947,0,0,1966080,1966080
301112671,24,4,1966080,44000,1922080,0,0,1966080,1966080
301116657,13,4,1966081,115080,1851001,0,10698,101686,112384
301152525,29,4,1966064,82772,1883292,0,4326,64156,68482
301179729,2,4,1966080,43986,1922094,0,0,1966080,1966080
301197772,26,4,1966080,44000,1922080,0,0,1966080,1966080
301233818,33,4,1966080,44000,1922080,0,0,1966080,1966080
360285018,35,5,1966080,43993,1922087,0,0,1966080,1966080
360295317,11,5,1966080,44121,1921959,0,0,1966080,1966080
360298035,31,5,1966079,58449,1907630,0,3929,54412,58341
360311527,25,5,1966080,43514,1922566,0,0,1966080,1966080
360321600,39,5,1966079,82614,1883465,0,5808,67513,73321
360324985,40,5,1966103,60101,1906002,0,4914,584533,589447
360327090,4,5,1966080,52338,1913742,0,3620,54556,58176
360344670,37,5,1966080,68045,1898035,0,5521,74047,79568
360339769,12,5,1966079,78946,1887133,0,9405,96785,106190
360378203,18,5,1966080,43959,1922121,0,0,1966080,1966080
360408419,10,5,1966080,43514,1922566,0,0,1966080,1966080
360413204,19,5,1966079,43415,1922664,0,4716,54003,58719
360431285,34,5,1966080,43514,1922566,0,0,1966080,1966080
360443068,27,5,1966080,43715,1922365,0,0,1966080,1966080
360459712,23,5,1966080,44307,1921773,0,0,1966080,1966080
360461682,28,5,1966079,66292,1899787,0,4122,61953,66075
360445032,1,5,1966081,1966081,0,0,10679,142697,153376
360492739,20,5,1966080,84364,1881716,0,5997,75103,81100
360503221,15,5,1966080,40798,1925282,0,3650,50061,53711
360557514,7,5,1966080,43727,1922353,0,0,1966080,1966080
360636987,32,5,1966080,44220,1921860,0,0,1966080,1966080
360660540,5,5,1966080,44214,1921866,0,2885,53729,56614
360712992,21,5,1966080,52159,1913921,0,2882,54570,57452
360702712,38,5,1966080,96795,1869285,0,10151,98838,108989
360802660,41,5,1966080,44117,1921963,0,0,1966080,1966080
360808968,9,5,1966080,43503,1922577,0,0,1966080,1966080
360855116,36,5,1966079,53803,1912276,0,4085,69929,74014
360861732,8,5,1966080,43503,1922577,0,0,1966080,1966080
360901843,16,5,1966080,43737,1922343,0,0,1966080,1966080
360940286,14,5,1966080,44081,1921999,0,3103,51960,55063
360956076,6,5,1966080,44234,1921846,0,0,1966080,1966080
361061176,22,5,1966080,47743,1918337,0,2908,54247,57155
361093479,17,5,1966080,43514,1922566,0,0,1966080,1966080
361096011,3,5,1966080,43656,1922424,0,0,1966080,1966080
361089864,30,5,1966080,119160,1846920,0,12891,105324,118215
361112671,24,5,1966080,43514,1922566,0,0,1966080,1966080
361118956,13,5,1966156,99877,1866279,0,12023,103252,115275
361150044,29,5,1965999,68017,1897982,0,4976,74153,79129
361179729,2,5,1966080,43503,1922577,0,0,1966080,1966080
361197772,26,5,1966080,43514,1922566,0,0,1966080,1966080
361233818,33,5,1966080,43514,1922566,0,0,1966080,1966080
420285019,35,6,1966080,44236,1921844,0,0,1966080,1966080
420295539,11,6,1966087,89192,1876895,0,7338,81252,88590
420298931,31,6,1966110,83106,1883004,0,6456,66504,72960
420311528,25,6,1966080,44441,1921639,0,0,1966080,1966080
420321600,39,6,1966080,87775,1878305,0,7658,78248,85906
420324463,40,6,1966063,92999,1873064,0,6785,70719,77504
420327090,4,6,1966080,83627,1882453,0,4918,60515,65433
420335447,37,6,1966080,55314,1910766,0,5432,74177,79609
420336250,12,6,1966081,140776,1825305,0,12362,112552,124914
420378204,18,6,1966080,44189,1921891,0,0,1966080,1966080
420408420,10,6,1966080,44656,1921424,0,0,1966080,1966080
420408971,19,6,1966080,72901,1893179,0,4198,55953,60151
420431286,34,6,1966080,43853,1922227,0,0,1966080,1966080
420443069,27,6,1966080,44494,1921586,0,0,1966080,1966080
420445026,1,6,1966080,1966080,0,0,12484,152857,165341
420459713,23,6,1966080,44399,1921681,0,0,1966080,1966080
420461682,28,6,1966080,70169,1895911,0,3533,69772,73305
420493961,20,6,1966119,76514,1889605,0,6301,89432,95733
420503221,15,6,1966080,36030,1930050,0,2760,50371,53131
420557515,7,6,1966080,43998,1922082,0,0,1966080,1966080
420637209,32,6,1966087,93759,1872328,0,6973,388312,395285
420660530,5,6,1966080,62128,1903952,0,3101,54511,57612
420704484,38,6,1966138,98265,1867873,0,12120,103718,115838
420713612,21,6,1966100,84684,1881416,0,2735,55211,57946
420802886,41,6,1966087,84094,1881993,0,5758,185250,191008
420808969,9,6,1966080,43838,1922242,0,0,1966080,1966080
420855107,36,6,1966080,43380,1922700,0,3367,69467,72834
420861733,8,6,1966080,43838,1922242,0,0,1966080,1966080
420901844,16,6,1966080,44038,1922042,0,0,1966080,1966080
420940255,14,6,1966079,51294,1914785,0,3391,52654,56045
420956077,6,6,1966080,44233,1921847,0,0,1966080,1966080
421061196,22,6,1966080,49854,1916226,0,2938,55857,58795
421086259,30,6,1966080,162905,1803175,0,17586,116166,133752
421093480,17,6,1966080,43853,1922227,0,0,1966080,1966080
421096232,3,6,1966087,62841,1903246,0,3952,291735,295687
421112672,24,6,1966080,44238,1921842,0,0,1966080,1966080
421116609,13,6,1966003,119989,1846014,0,14799,108385,123184
421149223,29,6,1966053,70594,1895459,0,5747,75748,81495
421179730,2,6,1966080,44178,1921902,0,0,1966080,1966080
421197773,26,6,1966080,43853,1922227,0,0,1966080,1966080
421234040,33,6,1966087,79778,1886309,0,5208,723276,728484
480285019,35,7,1966080,43919,1922161,0,0,1966080,1966080
480298046,31,7,1966050,75311,1890739,0,6988,77434,84422
480311528,25,7,1966080,43959,1922121,0,0,1966080,1966080
480321590,39,7,1966080,71434,1894646,0,7106,77432,84538
480324463,40,7,1966080,78207,1887873,0,5848,75031,80879
480327081,4,7,1966080,57392,1908688,0,4278,70725,75003
480342380,11,7,1967615,67935,1899680,0,4287,55516,59803
480339021,37,7,1966080,67396,1898684,0,5640,78023,83663
480336241,12,7,1966080,118479,1847601,0,12865,118657,131522
480382068,18,7,1966087,53102,1912985,0,4372,733725,738097
480408420,10,7,1966080,44288,1921792,0,0,1966080,1966080
480409561,19,7,1966100,81590,1884510,0,5081,64587,69668
480431286,34,7,1966080,43743,1922337,0,0,1966080,1966080
480443069,27,7,1966080,44568,1921512,0,0,1966080,1966080
480459713,23,7,1966080,44529,1921551,0,0,1966080,1966080
480461663,28,7,1966079,60619,1905460,0,3655,69850,73505
480444998,1,7,1966079,1966079,0,0,12591,165626,178217
