sim_time_us,node_id,seq
12146649,21,0
12370616,14,0
12491563,22,0
12516661,30,0
12546986,13,0
12579581,29,0
26932359,21,1
27335998,13,1
27469683,30,1
27616489,22,1
28050224,14,1
28423257,29,1
41487046,21,2
42656301,13,2
42712330,29,2
42722139,14,2
43179023,22,2
43375949,30,2
55776119,21,3
57642605,29,3
57937548,13,3
58110413,22,3
58258760,30,3
58602693,14,3
71241563,21,4
72086811,13,4
73032218,30,4
73050283,14,4
73595162,29,4
74073845,22,4
86447984,21,5
86781287,13,5
87250948,30,5
87878368,14,5
88454517,29,5
88772752,22,5
101608348,30,6
101987056,21,6
102681064,29,6
102738322,13,6
103555667,12,0
103565858,14,6
103875245,38,0
103929936,5,0
104710243,22,6
117164094,13,7
117276109,21,7
117493702,30,7
117681070,29,7
118762464,12,1
119034629,14,7
119168954,5,1
119523632,38,1
120686815,22,7
131689949,21,8
132883762,12,2
132987401,13,8
133064603,30,8
133255263,29,8
133804936,38,2
133872104,5,2
134683095,14,8
136194658,22,8
147260484,21,9
148063882,29,9
148664100,13,9
148719679,12,3
149063160,30,9
149206484,14,9
149325219,5,3
149687695,38,3
150694628,22,9
162142629,29,10
162479373,21,10
163774377,12,4
163797052,13,10
164407329,30,10
164422089,38,4
164806701,14,10
164872084,5,4
164960425,22,10
176784062,21,11
177126550,29,11
178579055,12,5
178851675,37,0
178977513,38,5
179102641,30,11
179272883,22,11
179294848,13,11
179997095,5,5
180043116,14,11
190815341,21,12
191759364,29,12
193243296,30,12
193406457,13,12
193961886,12,6
194851787,38,6
194859502,37,1
195007287,22,12
195278364,5,6
195651986,14,12
205749344,21,13
207290136,30,13
207290580,29,13
208593928,13,13
208906439,38,7
209093187,22,13
209313424,12,7
209903335,5,7
210500112,37,2
211292581,14,13
220252807,21,14
221485897,29,14
222046499,4,0
222212147,20,0
222321391,30,14
224218923,13,14
224297090,38,8
224298689,12,8
224491624,22,14
224523598,37,3
225784758,14,14
225817416,5,8
235245881,21,15
235829681,29,15
237657328,30,15
237898010,4,1
238063655,20,1
238835389,22,15
238882944,37,4
238930612,12,9
