sim_time_us,node_id
4343578,30
4343598,14
4343604,21
4343683,22
4343686,13
4343716,29
93489896,38
99789260,5
99789293,12
161845719,37
216179252,4
216179290,20
242486606,36
245160159,39
247526318,31
259966014,28
274988978,28
281384485,15
285480613,19
320922233,40
363762809,11
365230719,11
368326102,41
373212011,3
373842385,32
383292955,33
384606090,33
444088178,18
485667900,2
492913003,23
493119387,23
494014625,10
494327124,27
504407640,35
514540898,10
517797814,7
517797865,16
521578885,26
568037122,8
659549443,14
691050295,34
696873900,25
754203611,9
814054371,6
903515753,24
1126222256,17
