sim_time_us,receiver_id,src_id,seq,latency_reported_ms,aoi_us
14219000,1,21,0,2289,1850586
25533136,1,22,0,13601,13622194
25728187,1,30,0,13796,13044913
26792280,1,22,1,70,92325
27954587,1,30,1,1070,318238
28078964,1,21,1,703,265311
35162766,1,29,0,23226,22975817
36433806,1,29,1,10250,10008407
38849322,1,13,0,26921,26693198
40109476,1,13,1,13023,12797152
41600670,1,22,2,335,361677
41777370,1,29,2,382,133241
42568741,1,21,2,890,450423
43258794,1,13,2,570,344931
43682541,1,30,2,921,171182
56717539,1,22,3,109,134786
57373816,1,21,3,671,232061
57527495,1,29,3,390,141195
58378925,1,13,3,414,191615
59120318,1,30,3,945,198494
71554552,1,21,4,695,256506
72152940,1,22,4,156,179562
72647473,1,29,4,304,58028
73607934,1,30,4,929,182523
74444199,1,13,4,484,253155
85724048,1,21,5,609,168231
86327908,1,22,5,156,180181
87767733,1,29,5,679,428323
89046160,1,30,5,1375,628561
89249115,1,13,5,539,311781
100502914,1,22,6,46,68608
101159164,1,21,6,750,314289
103213856,1,29,6,570,335367
103226681,1,30,6,851,98165
104054406,1,13,6,382,156135
116279334,1,21,7,562,121954
116568308,1,22,7,171,196475
118026067,1,30,7,1148,405363
118322971,1,29,7,429,177500
118544377,1,13,7,531,302394
132003407,1,22,8,242,264384
132344402,1,21,8,703,265118
132404642,1,13,8,375,147000
132817488,1,29,8,554,306237
133289444,1,20,0,39,244613
133773401,1,30,8,976,230792
147438409,1,22,9,242,261921
147779551,1,21,9,625,184671
148094254,1,20,1,0,189119
148154806,1,13,9,554,326886
148248083,1,29,9,414,166486
148580917,1,30,9,968,225828
162269754,1,21,10,500,65364
162584918,1,20,2,132,337023
162753893,1,30,10,843,93967
162873784,1,22,10,242,266991
163275003,1,13,10,343,118813
163998342,1,29,10,640,393162
177080799,1,20,3,265,469610
177244299,1,30,11,1171,420330
177363895,1,22,11,468,491321
177704925,1,21,11,578,141155
178173434,1,29,11,515,263566
179340137,1,13,11,531,308947
192049386,1,30,12,1000,248815
192484495,1,22,12,562,589070
192825012,1,21,12,859,417472
192983093,1,29,12,335,88830
193140181,1,20,4,578,778885
194150618,1,13,12,703,478773
206538977,1,30,13,804,58767
206973845,1,22,13,203,226904
207321160,1,21,13,492,50363
207783522,1,29,13,445,193972
208320372,1,13,13,507,281374
208575296,1,20,5,109,311138
221347159,1,30,14,1093,351319
221464242,1,22,14,210,232926
222120247,1,21,14,484,44748
223440436,1,13,14,328,104558
223614825,1,29,14,632,376837
223694828,1,20,6,0,181313
235639169,1,22,15,93,119168
236782292,1,30,15,875,122394
237555365,1,21,15,578,140038
237930603,1,13,15,390,165043
238500232,1,20,7,23,228900
238968928,1,29,15,382,137190
251707911,1,22,16,218,242185
251899619,1,30,16,820,67799
252420721,1,13,16,632,401459
252675847,1,21,16,476,38826
253148699,1,29,16,382,137219
254565625,1,20,8,281,490482
266389828,1,30,17,1062,309540
266595850,1,13,17,398,174040
267165815,1,28,0,820,525676
267454319,1,22,17,273,293315
267634274,1,29,17,515,263469
268425578,1,21,17,656,221173
269685779,1,20,9,546,750374
281512602,1,30,18,851,102704
282345962,1,13,18,375,150709
282601185,1,28,1,1007,711041
282915745,1,21,18,601,164480
283069242,1,29,18,437,186273
283204446,1,22,18,296,313075
283860459,1,20,10,0,88739
288874906,1,23,0,7445,7625253
296750241,1,23,1,695,875667
296944940,1,30,19,929,183475
297405827,1,21,19,601,162375
297781058,1,13,19,484,253957
298350554,1,20,11,0,188462
298639837,1,22,19,445,471021
298666273,1,28,2,1070,774631
298819378,1,29,19,328,81385
311122693,1,30,20,1054,306511
311869819,1,23,2,445,620221
311955989,1,13,20,421,198207
312525940,1,21,20,742,305910
312841233,1,20,12,179,377154
313129671,1,22,20,54,77998
313156406,1,28,3,1054,758420
313939514,1,29,20,445,193669
326045072,1,23,3,234,412661
326701087,1,21,21,562,121692
326870153,1,30,21,890,139942
327076284,1,13,21,664,435724
327961496,1,28,4,1601,1305717
328250062,1,22,21,250,276558
328591215,1,20,13,46,249435
328744739,1,29,21,492,241121
339769684,1,37,0,85,127463
341045287,1,30,22,976,229139
341251416,1,13,22,500,274918
341480316,1,23,4,437,613540
341506348,1,28,5,898,600584
342136426,1,21,22,1039,603020
342919735,1,29,22,554,302235
343054931,1,22,22,70,89240
344026489,1,20,14,445,651829
354259938,1,37,1,250,289587
355741517,1,13,23,554,327514
356311454,1,28,6,804,504532
356480658,1,30,23,1015,266067
356915294,1,23,5,289,462590
357571300,1,21,23,507,70035
357729397,1,29,23,656,413279
358201643,1,20,15,468,667339
358490324,1,22,23,210,235570
361190277,1,36,0,5109,4632222
368435208,1,37,2,148,187424
369601602,1,13,24,367,140695
371116556,1,28,7,953,657227
371589618,1,36,1,898,430031
372061151,1,20,16,0,203186
372230363,1,30,24,828,78222
372350293,1,23,6,351,530382
372691404,1,21,24,867,432280
373474970,1,29,24,460,213498
373610441,1,22,24,296,312774
382925165,1,37,3,617,657929
385351717,1,13,25,507,281469
385768519,1,36,2,898,429264
387181536,1,21,25,875,438079
387350765,1,30,25,1046,300242
387471102,1,23,7,359,534023
387496844,1,20,17,695,897237
387662723,1,29,25,578,338793
387811984,1,28,8,1945,1648383
389045422,1,22,25,218,243788
398119500,1,37,4,132,172586
401041355,1,20,18,0,82382
401101854,1,13,26,500,273788
401510449,1,36,3,953,475871
401960639,1,23,8,445,625102
402308402,1,21,26,921,486819
402617092,1,28,9,1562,1266009
403094354,1,29,26,750,508200
403107369,1,30,26,968,212494
405110666,1,22,26,585,605912
412535387,1,37,5,359,400973
416221968,1,13,27,507,284494
416315559,1,36,4,1093,613159
416765891,1,23,9,242,422562
417422060,1,20,19,414,619337
417736802,1,21,27,585,146043
417797370,1,12,0,1382,1142434
418052351,1,28,10,1593,1291124
418532172,1,29,27,390,153554
418545163,1,30,27,929,174327
418970796,1,22,27,281,301980
425042725,1,5,0,10164,10014243
427025649,1,37,6,234,274028
431027075,1,13,28,445,222417
431120809,1,36,5,1031,554972
431281900,1,20,20,85,291628
431342259,1,5,1,539,384121
431657228,1,12,1,664,425744
431886155,1,23,10,351,525420
432226889,1,21,28,546,108422
432542295,1,28,11,1148,855106
433025726,1,30,28,796,43316
433959961,1,29,28,359,112573
434721535,1,22,28,117,138621
443405629,1,37,7,875,919652
445202197,1,13,29,585,355347
445610648,1,36,6,906,427643
446376288,1,23,11,273,446282
446402261,1,20,21,320,529226
446777283,1,12,2,968,733318
447201111,1,30,29,875,127146
447407647,1,5,2,1117,965143
447662035,1,21,29,632,189306
448292562,1,28,12,1085,792908
449211002,1,22,29,117,143748
449390531,1,29,29,828,582205
457277063,1,37,8,250,306523
460867372,1,23,12,429,609831
460952143,1,13,30,562,333753
461694022,1,30,30,859,112249
462066773,1,36,7,1460,985336
462212474,1,12,3,843,606015
462467826,1,20,22,585,790103
462782106,1,21,30,734,296461
463097378,1,28,13,812,519599
463157469,1,5,3,898,746225
463385867,1,22,30,23,45147
464510654,1,29,30,335,85166
472075122,1,37,9,93,136026
475671361,1,23,13,359,538835
476481162,1,36,8,1148,673129
476642376,1,20,23,429,636534
476702282,1,13,31,445,217378
476811357,1,30,31,1062,315638
477017608,1,12,4,820,583009
477272238,1,21,31,789,345284
477647595,1,5,4,671,517582
478847520,1,28,14,937,641089
479451269,1,22,31,367,391822
480575808,1,29,31,546,297181
487821274,1,37,10,125,163263
490477207,1,23,14,367,547781
490502041,1,20,24,0,74289
490656293,1,36,9,1062,590466
491132342,1,21,32,515,76364
491303946,1,30,32,812,65877
491507637,1,12,5,679,440205
492767428,1,13,32,515,290895
493022516,1,28,15,742,444703
493397696,1,5,5,687,532667
493941075,1,22,32,70,92546
495065887,1,29,32,539,288801
497091822,1,24,0,6140,5509801
502315519,1,37,11,31,79402
504831663,1,36,10,1171,694507
505476536,1,30,33,960,215075
505912126,1,23,15,437,609717
505937750,1,20,25,265,466954
505997812,1,12,6,687,446035
506226562,1,15,0,1117,992957
506567449,1,21,33,640,195161
507171869,1,24,1,1335,707414
507887689,1,13,33,531,301811
508149633,1,28,16,750,454630
