sim_time_us,node_id,event,peer,detail
10931140,30,LIST,0x0001,
11335109,21,LIST,0x0001,
11521736,1,EOL,0x0015,
11876906,21,ADD,0x0001,
13577981,1,CELL_ALLOC,0x0015,slot=9 ch=12 dir=Receive
13591960,1,SUCCESS,0x0015,
13746566,21,CELL_ALLOC,0x0001,slot=9 ch=12 dir=Transmit
14096198,22,ADD,0x0001,
14097913,14,ADD,0x0001,
14102830,29,ADD,0x0001,
14106202,13,LIST,0x0001,
14598780,13,LIST,0x0015,
14871993,1,SUCCESS,0x001d,
15786092,1,EOL,0x000d,
22547310,1,EOL,0x001e,
23057961,1,SUCCESS,0x0016,
24621939,22,CELL_ALLOC,0x0001,slot=7 ch=11 dir=Transmit
24634923,22,SUCCESS,0x0001,
24942563,1,CELL_ALLOC,0x0016,slot=7 ch=11 dir=Receive
24953115,30,ADD,0x0001,
25068288,1,CELL_ALLOC,0x001e,slot=20 ch=6 dir=Receive
25082288,1,SUCCESS,0x001e,
25251608,30,CELL_ALLOC,0x0001,slot=20 ch=6 dir=Transmit
33831803,14,ADD,0x0001,
33836720,29,ADD,0x0001,
34087557,1,SUCCESS,0x001d,
34228713,29,CELL_ALLOC,0x0001,slot=19 ch=11 dir=Transmit
34241683,29,SUCCESS,0x0001,
34571074,1,CELL_ALLOC,0x001d,slot=19 ch=11 dir=Receive
37466600,13,ADD,0x0001,
37709899,1,SUCCESS,0x000d,
37851979,13,CELL_ALLOC,0x0001,slot=13 ch=4 dir=Transmit
37864920,13,SUCCESS,0x0001,
38251500,1,CELL_ALLOC,0x000d,slot=13 ch=4 dir=Receive
38336202,30,LIST,0x001d,
49530009,1,LIST,0x0015,
49637035,21,EOL,0x0001,
61459767,21,LIST,0x001d,
61608039,29,EOL,0x0015,
61722431,14,ADD,0x0001,
84714609,14,ADD,0x0001,
87910021,22,LIST,0x0001,
87910883,13,LIST,0x0015,
87914444,29,LIST,0x0001,
88086993,1,EOL,0x001d,
88228004,1,EOL,0x0016,
90587760,21,EOL,0x000d,
112871353,14,ADD,0x0001,
128054432,20,LIST,0x0015,
128239629,21,EOL,0x0014,
129848382,20,ADD,0x0015,
129964319,21,CELL_ALLOC,0x0014,slot=7 ch=8 dir=Receive
129978429,21,SUCCESS,0x0014,
130147183,20,CELL_ALLOC,0x0015,slot=7 ch=8 dir=Transmit
212946379,30,LIST,0x0016,
214698632,22,EOL,0x001e,
248032874,22,LIST,0x0015,
248089037,21,EOL,0x0016,
253572383,21,LIST,0x0016,
253609424,22,EOL,0x0015,
256043505,28,LIST,0x0014,
256535965,28,LIST,0x001d,
256593994,20,EOL,0x001c,
260065032,29,EOL,0x001c,
260259361,28,ADD,0x0014,
260374822,20,CELL_ALLOC,0x001c,slot=6 ch=3 dir=Receive
260389090,20,SUCCESS,0x001c,
260562458,28,CELL_ALLOC,0x0014,slot=6 ch=3 dir=Transmit
267593143,1,LIST,0x000d,
267783920,13,EOL,0x0001,
269567103,13,LIST,0x000e,
269674426,14,EOL,0x000d,
273398922,29,LIST,0x0015,
273460535,21,EOL,0x001d,
273917686,14,LIST,0x0001,
280427306,23,LIST,0x0016,
280534506,22,EOL,0x0017,
280734480,23,ADD,0x0016,
280850553,22,CELL_ALLOC,0x0017,slot=6 ch=2 dir=Receive
280864674,22,SUCCESS,0x0017,
288428707,23,CELL_ALLOC,0x0016,slot=6 ch=2 dir=Transmit
330353282,37,LIST,0x001d,
330620674,29,EOL,0x0025,
330820238,37,ADD,0x001d,
332517097,29,CELL_ALLOC,0x0025,slot=17 ch=13 dir=Receive
332539262,29,SUCCESS,0x0025,
332694043,37,CELL_ALLOC,0x001d,slot=17 ch=13 dir=Transmit
336011805,20,LIST,0x001c,
336139945,28,EOL,0x0014,
338598572,20,ADD,0x001c,
338685987,28,SUCCESS,0x0014,
338958139,20,CELL_ALLOC,0x001c,slot=9 ch=6 dir=Transmit
338972528,20,SUCCESS,0x001c,
339350525,28,CELL_ALLOC,0x0014,slot=9 ch=6 dir=Receive
