sim_time_us,node_id,time_source,join_priority
1904015,14,0x0001,1
1904050,30,0x0001,1
2218994,21,0x0001,1
2219016,22,0x0001,1
2219019,13,0x0001,1
2219024,29,0x0001,1
119714930,6,0x000e,2
189330456,28,0x001d,2
200040467,7,0x0006,3
238785986,20,0x0015,2
248235848,36,0x001c,3
250125951,8,0x0007,4
280996192,37,0x001d,2
313441379,27,0x001c,3
313756450,35,0x0024,4
321316559,23,0x0016,2
331711801,9,0x0008,5
346831730,16,0x0008,5
365417051,15,0x0017,3
371086849,19,0x0014,4
383372370,17,0x0009,6
401642244,26,0x001b,4
413297245,12,0x000d,2
419912288,38,0x001e,2
419912537,31,0x001e,2
446057610,24,0x0017,3
449837740,25,0x0018,7
453617824,34,0x001a,5
482283092,39,0x0026,3
495828342,18,0x0013,5
548433695,32,0x0018,4
658999633,40,0x0020,5
669394692,33,0x0020,5
709715107,41,0x0028,6
743419936,5,0x0006,3
950691640,10,0x0012,6
952581387,4,0x0005,4
991012043,11,0x000c,3
992901905,3,0x0004,4
1094017741,2,0x0003,5
1185998473,21,0x001d,2
1250888814,20,0x0015,2
1388860035,21,0x000d,2
