sim_time_us,node_id,event,peer,detail
11470475,30,LIST,0x0001,
12768493,1,EOL,0x001e,
14235554,22,LIST,0x0001,
14235791,38,ADD,0x0001,
14239753,34,LIST,0x0001,
14244907,20,LIST,0x0001,
14343710,1,EOL,0x0014,
14732386,34,LIST,0x0014,
14737569,20,LIST,0x0022,
14808029,34,EOL,0x0014,
16068236,1,EOL,0x0022,
16383105,20,EOL,0x0022,
17178595,1,EOL,0x0016,
23828534,22,ADD,0x0001,
24144075,20,ADD,0x0001,
24458602,34,ADD,0x0001,
24573915,1,CELL_ALLOC,0x0022,slot=9 ch=7 dir=Receive
24588049,1,SUCCESS,0x0022,
25398924,1,SUCCESS,0x0026,
26471232,1,CELL_ALLOC,0x0014,slot=13 ch=10 dir=Receive
26491732,1,SUCCESS,0x0014,
26804671,20,CELL_ALLOC,0x0001,slot=13 ch=10 dir=Transmit
28392464,30,ADD,0x0001,
28852913,38,CELL_ALLOC,0x0001,slot=1 ch=8 dir=Transmit
28865873,38,SUCCESS,0x0001,
29072540,1,CELL_ALLOC,0x0026,slot=1 ch=8 dir=Receive
29299276,1,CELL_ALLOC,0x001e,slot=3 ch=14 dir=Receive
29313233,1,SUCCESS,0x001e,
29482628,30,CELL_ALLOC,0x0001,slot=3 ch=14 dir=Transmit
33393825,1,CELL_ALLOC,0x0016,slot=9 ch=7 dir=Receive
33407864,1,SUCCESS,0x0016,
33577457,22,CELL_ALLOC,0x0001,slot=9 ch=7 dir=Transmit
49666245,1,LIST,0x0016,
49773134,22,EOL,0x0001,
53826069,34,ADD,0x0001,
55455188,1,SUCCESS,0x0022,
61594530,30,LIST,0x0026,
61743488,38,EOL,0x001e,
77701096,34,ADD,0x0001,
77820323,1,SUCCESS,0x0022,
88047401,38,LIST,0x0001,
88049717,20,LIST,0x0026,
88203565,38,EOL,0x0014,
88263941,1,EOL,0x0026,
92074603,15,LIST,0x0026,
92149505,38,EOL,0x000f,
92567054,15,LIST,0x001e,
92779350,30,EOL,0x000f,
92968463,15,ADD,0x0026,
94985455,38,CELL_ALLOC,0x000f,slot=20 ch=7 dir=Receive
94999514,38,SUCCESS,0x000f,
95153780,15,CELL_ALLOC,0x0026,slot=20 ch=7 dir=Transmit
99396379,34,ADD,0x0001,
99555511,1,SUCCESS,0x0022,
100555526,24,LIST,0x001e,
100654616,30,EOL,0x0018,
100843166,24,ADD,0x001e,
100970538,30,CELL_ALLOC,0x0018,slot=2 ch=2 dir=Receive
100984635,30,SUCCESS,0x0018,
101138330,24,CELL_ALLOC,0x001e,slot=2 ch=2 dir=Transmit
123966708,34,ADD,0x0001,
124294277,1,SUCCESS,0x0022,
153683808,9,LIST,0x001e,
155780045,30,EOL,0x0009,
155968717,9,ADD,0x001e,
156411232,30,CELL_ALLOC,0x0009,slot=1 ch=5 dir=Receive
156425312,30,SUCCESS,0x0009,
156584707,9,CELL_ALLOC,0x001e,slot=1 ch=5 dir=Transmit
175741953,24,LIST,0x0009,
175774412,9,EOL,0x0018,
198435813,9,LIST,0x0018,
198619831,24,EOL,0x0009,
212056249,1,LIST,0x0014,
214054624,20,EOL,0x0001,
219778597,17,LIST,0x0018,
219874770,24,EOL,0x0011,
220390353,17,ADD,0x0018,
220820853,24,CELL_ALLOC,0x0011,slot=1 ch=1 dir=Receive
220834908,24,SUCCESS,0x0011,
221004249,17,CELL_ALLOC,0x0018,slot=1 ch=1 dir=Transmit
227480953,30,LIST,0x000f,
227600162,15,EOL,0x001e,
250997814,28,LIST,0x0026,
254210129,26,LIST,0x0026,
254696456,26,LIST,0x000f,
255636133,38,EOL,0x001c,
255825372,28,ADD,0x0026,
256100481,38,EOL,0x001a,
256730165,15,EOL,0x001a,
256931325,26,ADD,0x0026,
257046908,38,CELL_ALLOC,0x001a,slot=19 ch=15 dir=Receive
257073246,38,SUCCESS,0x001a,
257091423,17,LIST,0x0016,
258639922,26,CELL_ALLOC,0x0026,slot=19 ch=15 dir=Transmit
259101448,22,EOL,0x0011,
259732628,38,CELL_ALLOC,0x001c,slot=17 ch=14 dir=Receive
259746800,38,SUCCESS,0x001c,
259899892,28,CELL_ALLOC,0x0026,slot=17 ch=14 dir=Transmit
276187680,22,LIST,0x0011,
276260131,17,EOL,0x0016,
289710239,6,LIST,0x001a,
289806313,26,EOL,0x0006,
290159941,6,ADD,0x001a,
290286965,26,CELL_ALLOC,0x0006,slot=17 ch=2 dir=Receive
290300962,26,SUCCESS,0x0006,
290619741,6,CELL_ALLOC,0x001a,slot=17 ch=2 dir=Transmit
292369375,38,LIST,0x0014,
292490489,20,EOL,0x0026,
294022446,34,ADD,0x0001,
294095835,1,SUCCESS,0x0022,
294235246,34,CELL_ALLOC,0x0001,slot=14 ch=2 dir=Transmit
294252012,34,SUCCESS,0x0001,
294502577,1,CELL_ALLOC,0x0022,slot=14 ch=2 dir=Receive
297246476,15,LIST,0x001a,
297366300,26,EOL,0x000f,
326470412,26,LIST,0x0006,
326510799,6,EOL,0x001a,
328542490,20,LIST,0x0001,
328794905,1,EOL,0x0014,
335571743,18,LIST,0x0011,
335961511,17,EOL,0x0012,
336325023,18,ADD,0x0011,
336603996,12,LIST,0x0011,
336906456,17,EOL,0x000c,
337091252,12,LIST,0x0012,
338435000,34,LIST,0x0001,
338571343,1,EOL,0x0022,
338630758,18,EOL,0x000c,
341467127,17,CELL_ALLOC,0x0012,slot=20 ch=9 dir=Receive
341481224,17,SUCCESS,0x0012,
344186686,12,ADD,0x0011,
344320678,18,CELL_ALLOC,0x0011,slot=20 ch=9 dir=Transmit
344932274,17,CELL_ALLOC,0x000c,slot=17 ch=5 dir=Receive
344954582,24,LIST,0x0011,
344980988,17,SUCCESS,0x000c,
345096316,17,EOL,0x0018,
345272340,12,CELL_ALLOC,0x0011,slot=17 ch=5 dir=Transmit
364679135,2,LIST,0x0016,
365168614,2,LIST,0x0011,
371112129,17,EOL,0x0002,
371390837,22,EOL,0x0002,
371591571,2,ADD,0x0016,
372021927,22,CELL_ALLOC,0x0002,slot=7 ch=7 dir=Receive
372035933,22,SUCCESS,0x0002,
372205418,2,CELL_ALLOC,0x0016,slot=7 ch=7 dir=Transmit
374110452,25,LIST,0x0006,
374226104,6,EOL,0x0019,
374426645,25,ADD,0x0006,
374542063,6,CELL_ALLOC,0x0019,slot=16 ch=1 dir=Receive
374556053,6,SUCCESS,0x0019,
374725524,25,CELL_ALLOC,0x0006,slot=16 ch=1 dir=Transmit
382838382,31,LIST,0x0009,
383046212,9,EOL,0x001f,
383100681,9,LIST,0x001f,
383246760,31,ADD,0x0009,
383841225,31,EOL,0x0009,
383992251,9,CELL_ALLOC,0x001f,slot=20 ch=0 dir=Receive
384006328,9,SUCCESS,0x001f,
384060753,6,LIST,0x0019,
384156070,25,EOL,0x0006,
384175511,31,CELL_ALLOC,0x0009,slot=20 ch=0 dir=Transmit
402820683,18,LIST,0x000c,
402891170,12,EOL,0x0012,
403775708,1,LIST,0x0022,
403836022,34,EOL,0x0001,
409164718,13,LIST,0x001c,
409356627,28,EOL,0x000d,
409549577,13,ADD,0x001c,
409672631,28,CELL_ALLOC,0x000d,slot=16 ch=8 dir=Receive
409686601,28,SUCCESS,0x000d,
409829831,13,CELL_ALLOC,0x001c,slot=16 ch=8 dir=Transmit
417196149,30,LIST,0x0018,
417231698,24,EOL,0x001e,
419754489,35,LIST,0x000d,
420240574,35,LIST,0x0006,
420744298,35,LIST,0x0019,
421791478,13,EOL,0x0023,
424626531,6,EOL,0x0023,
425886347,25,EOL,0x0023,
426556530,35,ADD,0x000d,
426832449,13,CELL_ALLOC,0x0023,slot=15 ch=6 dir=Receive
426846446,13,SUCCESS,0x0023,
