sim_time_us,node_id,seq
12118695,34,0
12161839,30,0
12303343,22,0
12556510,20,0
12696433,38,0
27735781,30,1
28040566,34,1
28064262,20,1
28223334,22,1
28376137,38,1
42713316,34,2
42861314,30,2
43047931,38,2
43384585,20,2
44179980,15,0
44213650,22,2
57001467,34,3
58469807,38,3
58579884,20,3
58716476,30,3
58823035,22,3
59461193,15,1
71931174,34,4
72618946,20,4
72887994,38,4
72953781,30,4
73369930,22,4
74715544,15,2
86684985,34,5
87323837,38,5
87540822,20,5
87807400,22,5
88697174,30,5
90508065,15,3
101196779,34,6
102024484,38,6
102666785,22,6
102841490,30,6
103353626,20,6
105230648,15,4
115907730,34,7
116204195,38,7
117482158,30,7
117957002,22,7
118431436,20,7
120633055,15,5
130219817,38,8
130313986,34,8
131654029,30,8
133719099,22,8
134259581,20,8
136531522,15,6
144461979,38,9
145884264,34,9
146411811,30,9
148837681,20,9
149221457,22,9
151906502,15,7
159022932,38,10
161107264,30,10
161485972,34,10
163893487,22,10
163962857,20,10
167484628,15,8
174157463,38,11
175740053,30,11
176837534,34,11
178963790,22,11
179244077,20,11
182164311,15,9
188321529,38,12
189849458,30,12
190892252,34,12
193280452,22,12
194181597,20,12
197758172,15,10
202418600,38,13
204099429,30,13
206806280,34,13
207965791,2,0
208940255,20,13
209010665,22,13
213765994,15,11
218180869,38,14
219099424,30,14
220923472,34,14
222341769,2,1
223229415,22,14
224153962,20,14
228805056,15,12
233087124,38,15
234849428,30,15
235400279,34,15
237106269,26,0
237299727,22,15
237943332,2,2
239689399,20,15
243914442,15,13
248376237,38,16
249291636,30,16
250111026,34,16
252231238,26,1
253132082,22,16
253216812,2,3
255298806,20,16
258453507,15,14
262391812,38,17
263450991,30,17
264571909,34,17
266446156,8,0
266828179,26,2
266895569,9,0
267338790,22,17
268044913,2,4
270197211,20,17
273680100,15,15
277900749,38,18
278294755,30,18
279525034,34,18
280711731,8,1
281526285,22,18
281536199,9,1
282051541,26,3
282552706,2,5
285150327,20,18
288523796,15,16
293333528,38,19
294240049,30,19
295400044,34,19
295690347,22,19
296174953,8,2
296387762,9,2
296453537,23,0
297557050,2,6
297949978,26,4
299338713,20,19
302813208,15,17
308509052,38,20
309848469,30,20
310774799,9,3
310781058,23,1
310861026,34,20
311065425,22,20
311974601,2,7
312125813,8,3
313903120,26,5
314275368,20,20
318398830,15,18
323456547,38,21
324095566,24,0
324903387,9,4
325001592,34,21
325289411,23,2
325728262,30,21
326380842,2,8
326602376,8,4
326737228,22,21
329090594,26,6
330191030,20,21
332461296,15,19
338134000,38,22
339278385,34,22
339673593,24,1
339719088,23,3
340672606,14,0
340731522,9,5
340782053,8,5
341099429,30,22
342161102,2,9
342346598,22,22
343270305,26,7
345853447,20,22
347784837,15,20
352391811,38,23
353868906,24,2
354368779,34,23
354985169,8,6
355146299,30,23
355180368,14,1
355497735,9,6
355664396,23,4
356387859,28,0
356550599,22,23
356834091,2,10
357629666,26,8
361691298,20,23
363492566,15,21
368399663,38,24
369017363,24,3
369560221,30,24
369649251,8,7
369900967,34,24
370701901,6,0
370758181,23,5
370989391,28,1
371016326,14,2
371198194,22,24
371356553,9,7
372802866,2,11
373138056,26,9
377330034,20,24
377586296,15,22
383822031,24,4
384052107,34,25
384064827,8,8
384094937,38,25
384748706,6,1
385015426,30,25
386301825,9,8
386479410,22,25
386601896,23,6
386641316,14,3
386997712,28,2
387115366,2,12
389047594,26,10
391705014,20,25
391730620,15,23
398094544,8,9
398376729,24,5
398650079,38,26
398829722,34,26
399638492,30,26
400467457,6,2
400669006,9,9
401195675,23,7
401446013,14,4
401464959,22,26
401748170,2,13
402927366,28,3
403987652,26,11
406790947,20,26
406969104,15,24
412687371,24,6
413485304,8,10
413764585,30,27
414228159,34,27
414618374,38,27
415003620,31,0
416200402,9,10
416240904,6,3
416375348,23,8
416654409,2,14
416934429,14,5
417231649,22,27
418071839,28,4
419192316,26,12
421972815,15,25
422681587,20,27
427314249,24,7
429040016,8,11
429267242,34,28
429380699,30,28
430024654,38,28
430175454,31,1
430286780,13,0
431033116,40,0
431133181,23,9
431216939,2,15
431284077,9,11
431496269,22,28
432233111,6,4
432281974,14,6
433114392,28,5
435145442,26,13
437656604,15,26
438478471,20,28
441653967,24,8
444193767,35,0
444653567,8,12
444891979,34,29
445107832,30,29
445431207,13,1
445680875,38,29
445681509,40,1
445748813,22,29
445855141,31,2
446344224,23,10
446889332,6,5
447049009,2,16
447052030,9,12
447172829,28,6
447297566,14,7
449426672,26,14
452492547,15,27
453853447,20,29
456951053,24,9
459161943,30,30
459576529,35,1
459813701,38,30
459876611,34,30
460253603,31,3
460263341,13,2
460430622,8,13
460745041,22,30
461572118,40,2
461623160,2,17
461844230,23,11
461865904,6,6
462034725,28,7
462575397,9,13
463250691,14,8
463528769,26,15
467508166,15,28
469517509,20,30
471142494,24,10
473837135,38,31
473881211,35,2
474068174,30,31
474314092,34,31
474321166,13,3
474417651,31,4
475326494,33,0
475649366,8,14
475862228,22,31
475914551,23,12
476197118,40,3
476942497,28,8
477146597,2,18
477819019,6,7
478286335,9,14
478637609,26,16
478649128,14,9
481594129,15,29
484822232,20,31
487079993,24,11
488368416,38,32
488701559,35,3
488971087,30,32
489056296,34,32
489071338,13,4
489938453,8,15
490332145,31,5
490678082,33,1
490969249,23,13
490970565,40,4
491169079,28,9
491831008,22,32
492220291,2,19
492622287,9,15
493654976,6,8
494115677,26,17
494633643,14,10
496336292,15,30
500411851,20,32
502178064,24,12
503437829,34,33
503497716,13,5
503623415,35,4
503941542,38,33
504014156,30,33
505141568,8,16
505494003,40,5
505701499,33,2
505703598,23,14
505862944,31,6
506540211,28,10
506651291,22,33
506942584,9,16
507045054,2,20
507099256,17,0
508700104,26,18
509211753,14,11
509541516,6,9
511703504,15,31
516189400,20,33
517283119,24,13
517629690,34,34
517728172,13,6
518146843,35,5
519144985,38,34
519396298,30,34
519564290,40,6
519743122,8,17
521241163,23,15
521247620,17,1
521279645,33,3
521503431,22,34
521730132,31,7
522059825,28,11
522107545,2,21
522551959,9,17
523762610,26,19
524816488,14,12
525547916,6,10
527696951,15,32
530720634,20,34
531822182,24,14
532499597,35,6
533126599,34,35
533654387,13,7
533747861,30,35
534001514,8,18
534133995,38,35
535283047,40,7
535607760,33,4
536214650,25,0
536594249,23,16
536634923,2,22
536638245,17,2
536761392,31,8
537320632,28,12
537370042,22,35
537899021,9,18
538239787,26,20
540172707,14,13
541061378,6,11
541726953,15,33
545587848,20,35
547244057,24,15
547267253,34,36
548326550,35,7
