sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
60282992,5,0,1966126,42452,1923674,0,0,1965577,1965577
60291128,12,0,1966117,42466,1923651,0,0,1965568,1965568
60296276,8,0,1966126,42823,1923303,0,0,1965577,1965577
60305250,23,0,1966110,42836,1923274,0,0,1965561,1965561
60316577,13,0,1966117,42466,1923651,0,0,1965568,1965568
60320385,16,0,1966110,42465,1923645,0,0,1965561,1965561
60341595,25,0,1966110,42465,1923645,0,0,1965561,1965561
60351127,19,0,1966110,42465,1923645,0,0,1965561,1965561
60403087,32,0,1966110,42465,1923645,0,0,1965561,1965561
60412050,38,0,1966117,87518,1878599,0,6005,117374,123379
60442897,34,0,1966117,77314,1888803,0,6313,116794,123107
60451895,7,0,1966126,42452,1923674,0,0,1965577,1965577
60468959,27,0,1966110,42466,1923644,0,0,1965561,1965561
60536545,21,0,1966110,42465,1923645,0,0,1965561,1965561
60602509,36,0,1966110,42465,1923645,0,0,1965561,1965561
60646827,39,0,1966110,42465,1923645,0,0,1965561,1965561
60730429,3,0,1966126,42452,1923674,0,0,1965577,1965577
60755884,22,0,1966117,52889,1913228,0,5772,104881,110653
60786546,11,0,1966117,42466,1923651,0,0,1965568,1965568
60802005,14,0,1966117,42466,1923651,0,0,1965568,1965568
60834514,1,0,1966195,1966195,0,0,10380,101783,112163
60865929,26,0,1966110,42815,1923295,0,0,1965561,1965561
60875032,41,0,1966110,42465,1923645,0,0,1965561,1965561
60879546,17,0,1966110,42510,1923600,0,0,1965561,1965561
60923127,33,0,1966110,42465,1923645,0,0,1965561,1965561
60942368,10,0,1966117,42466,1923651,0,0,1965568,1965568
60987536,6,0,1966126,42452,1923674,0,0,1965577,1965577
61074337,35,0,1966110,42465,1923645,0,0,1965561,1965561
61094083,30,0,1966136,73930,1892206,0,6457,85998,92455
61106103,18,0,1966110,42465,1923645,0,0,1965561,1965561
61116513,9,0,1966126,43049,1923077,0,0,1965577,1965577
61119937,4,0,1966126,42452,1923674,0,0,1965577,1965577
61117765,15,0,1966118,43224,1922894,0,28,1868832,1868860
61126327,2,0,1966126,42473,1923653,0,0,1965577,1965577
61144172,29,0,1966110,42466,1923644,0,0,1965561,1965561
61143076,20,0,1966117,81541,1884576,0,6329,85587,91916
61147255,37,0,1966110,42465,1923645,0,0,1965561,1965561
61160080,31,0,1966109,42465,1923644,0,0,1965561,1965561
61183186,28,0,1966110,42840,1923270,0,0,1965561,1965561
61207518,24,0,1966110,43063,1923047,0,0,1965561,1965561
61209595,40,0,1966110,42465,1923645,0,0,1965561,1965561
120282990,5,1,1966080,43787,1922293,0,0,1966080,1966080
120291126,12,1,1966080,43799,1922281,0,0,1966080,1966080
120296286,8,1,1966081,37563,1928518,0,28,993252,993280
120305260,23,1,1966081,39161,1926920,0,28,992959,992987
120316575,13,1,1966080,43799,1922281,0,0,1966080,1966080
120320383,16,1,1966080,43799,1922281,0,0,1966080,1966080
120341593,25,1,1966080,43799,1922281,0,0,1966080,1966080
120351125,19,1,1966080,43799,1922281,0,0,1966080,1966080
120403085,32,1,1966080,43800,1922280,0,0,1966080,1966080
120411621,38,1,1966080,95216,1870864,0,6758,72120,78878
120442898,34,1,1966080,46521,1919559,0,3689,54407,58096
120451893,7,1,1966080,43787,1922293,0,0,1966080,1966080
120468957,27,1,1966080,43799,1922281,0,0,1966080,1966080
120536543,21,1,1966080,43799,1922281,0,0,1966080,1966080
120602507,36,1,1966080,43800,1922280,0,0,1966080,1966080
120646825,39,1,1966080,43800,1922280,0,0,1966080,1966080
120730427,3,1,1966080,43787,1922293,0,0,1966080,1966080
120755885,22,1,1966080,43125,1922955,0,3759,54438,58197
120786544,11,1,1966080,43799,1922281,0,0,1966080,1966080
120802003,14,1,1966080,43799,1922281,0,0,1966080,1966080
120833491,1,1,1966047,1966047,0,0,8423,133604,142027
120865927,26,1,1966080,44199,1921881,0,0,1966080,1966080
120875030,41,1,1966080,43799,1922281,0,0,1966080,1966080
120879544,17,1,1966080,44113,1921967,0,0,1966080,1966080
120923125,33,1,1966080,43800,1922280,0,0,1966080,1966080
120942366,10,1,1966080,43799,1922281,0,0,1966080,1966080
120987534,6,1,1966080,43787,1922293,0,0,1966080,1966080
121074335,35,1,1966080,43800,1922280,0,0,1966080,1966080
121093485,30,1,1966060,78568,1887492,0,4397,57236,61633
121106101,18,1,1966080,43799,1922281,0,0,1966080,1966080
121116511,9,1,1966080,44005,1922075,0,0,1966080,1966080
121117973,15,1,1966086,66931,1899155,0,5886,54524,60410
121119935,4,1,1966080,43787,1922293,0,0,1966080,1966080
121126325,2,1,1966080,44109,1921971,0,0,1966080,1966080
121144170,29,1,1966080,43799,1922281,0,0,1966080,1966080
121142021,20,1,1966080,56956,1909124,0,3780,55853,59633
121147253,37,1,1966080,43800,1922280,0,0,1966080,1966080
121160078,31,1,1966080,43800,1922280,0,0,1966080,1966080
121183184,28,1,1966080,44200,1921880,0,0,1966080,1966080
121207516,24,1,1966080,44015,1922065,0,0,1966080,1966080
121209593,40,1,1966080,43799,1922281,0,0,1966080,1966080
180282990,5,2,1966080,43733,1922347,0,0,1966080,1966080
180291126,12,2,1966080,43689,1922391,0,0,1966080,1966080
180298661,8,2,1966086,56078,1910008,0,3841,51690,55531
180312557,23,2,1966086,54332,1911754,0,3839,51127,54966
180316575,13,2,1966080,43881,1922199,0,0,1966080,1966080
180320383,16,2,1966080,43728,1922352,0,0,1966080,1966080
180341593,25,2,1966080,43689,1922391,0,0,1966080,1966080
180351125,19,2,1966080,43689,1922391,0,0,1966080,1966080
180403085,32,2,1966080,43689,1922391,0,0,1966080,1966080
180423164,38,2,1966435,104978,1861457,0,7930,88906,96836
180442868,34,2,1966079,85514,1880565,0,6532,71071,77603
180451893,7,2,1966080,43678,1922402,0,0,1966080,1966080
180468957,27,2,1966080,43689,1922391,0,0,1966080,1966080
180536543,21,2,1966080,43689,1922391,0,0,1966080,1966080
180602507,36,2,1966080,43689,1922391,0,0,1966080,1966080
180646825,39,2,1966080,43689,1922391,0,0,1966080,1966080
180730427,3,2,1966080,43678,1922402,0,0,1966080,1966080
180755846,22,2,1966079,39851,1926228,0,3391,54399,57790
180786544,11,2,1966080,43689,1922391,0,0,1966080,1966080
180802003,14,2,1966080,44201,1921879,0,0,1966080,1966080
180833464,1,2,1966079,1966079,0,0,8443,135246,143689
180865927,26,2,1966080,44411,1921669,0,0,1966080,1966080
180875030,41,2,1966080,43689,1922391,0,0,1966080,1966080
180879544,17,2,1966080,43877,1922203,0,0,1966080,1966080
180923125,33,2,1966080,43689,1922391,0,0,1966080,1966080
180942366,10,2,1966080,43689,1922391,0,0,1966080,1966080
180987534,6,2,1966080,43678,1922402,0,0,1966080,1966080
181074335,35,2,1966080,43689,1922391,0,0,1966080,1966080
181093436,30,2,1966079,66511,1899568,0,3350,55512,58862
181106101,18,2,1966080,43689,1922391,0,0,1966080,1966080
181116523,9,2,1966081,36256,1929825,0,28,820810,820838
181117933,15,2,1966079,51186,1914893,0,4338,54879,59217
181119935,4,2,1966080,43678,1922402,0,0,1966080,1966080
181126325,2,2,1966080,43869,1922211,0,0,1966080,1966080
181144170,29,2,1966080,43689,1922391,0,0,1966080,1966080
