sim_time_us,receiver_id,src_id,seq,latency_reported_ms,aoi_us
29029827,1,20,0,16867,16457476
29135598,1,22,0,16976,16949408
29974552,1,20,1,3570,3160064
30080038,1,22,1,3679,3651687
30178072,1,38,0,18007,18339446
31029228,1,34,0,18867,19156025
31436762,1,38,1,5203,5535697
32239755,1,34,1,4507,4796290
35408479,1,30,0,23242,22880756
36356282,1,30,1,8265,7910667
41201669,1,38,2,0,183868
41419933,1,22,2,351,327543
42956634,1,34,2,0,119193
43204224,1,20,2,750,334476
43598005,1,30,2,421,66458
56854826,1,22,3,226,199894
57263070,1,38,3,0,276509
58097810,1,30,3,835,474403
58324529,1,20,3,523,111617
58387917,1,34,3,15,299395
71948216,1,30,4,640,283821
72295488,1,22,4,257,230172
72698743,1,38,4,0,300517
73822745,1,34,4,0,51124
74074637,1,20,4,585,174205
79314308,1,15,0,6234,5851947
86753325,1,30,5,523,167085
88134090,1,15,1,890,507742
88450761,1,38,5,0,292291
88627858,1,34,5,0,129704
88670253,1,22,5,867,843478
88879729,1,20,5,664,252764
101243433,1,30,6,687,327992
102623560,1,38,6,0,269827
102845137,1,22,6,85,57424
103122381,1,34,6,0,147665
103369877,1,20,6,726,313225
103884490,1,15,2,1062,680011
115418566,1,30,7,437,74513
117650498,1,22,7,179,151863
117743700,1,38,7,0,225899
117859955,1,20,7,500,92371
118374610,1,15,3,1234,849808
119187648,1,34,7,0,205096
130853688,1,30,8,554,193365
132233788,1,38,8,0,316993
132549736,1,15,4,1335,950386
132770645,1,22,8,125,100100
132980069,1,20,8,453,40563
135252767,1,34,8,46,339530
146606915,1,30,9,453,98800
147039550,1,15,5,773,389749
147260749,1,22,9,375,344352
147353912,1,38,9,0,218924
148299774,1,28,0,609,162625
148415245,1,20,9,734,319530
150368617,1,34,9,54,343899
161844904,1,38,10,0,100400
162042114,1,30,10,671,311588
162159944,1,15,6,1312,932028
162380979,1,22,10,164,140011
163850445,1,20,10,562,153028
164680172,1,28,1,1578,1129010
164858599,1,34,10,0,157160
166749177,1,23,0,218,646214
167064152,1,8,0,539,974856
176214153,1,30,11,539,182465
176871097,1,22,11,351,325442
176964783,1,15,7,796,416559
177594135,1,38,11,0,162132
178025459,1,20,11,664,249921
178854983,1,28,2,695,249134
179033701,1,34,11,7,297122
181918116,1,23,1,0,135495
182184256,1,8,1,218,652798
191019268,1,30,12,726,365750
191676208,1,22,12,273,247711
192084951,1,38,12,109,433251
192200684,1,20,12,671,261049
192909715,1,24,0,2554,2078577
193029908,1,15,8,898,512889
193224240,1,9,0,976,591244
193345094,1,28,3,812,363317
193528502,1,34,12,0,162992
196358975,1,23,2,0,388874
196988937,1,8,2,0,176248
205512735,1,30,13,523,168547
206143183,1,24,1,1000,528627
206259523,1,38,13,0,257212
206481322,1,22,13,382,357546
207703893,1,34,13,0,119667
207835022,1,15,9,820,433299
208032754,1,9,1,664,282641
208265824,1,20,13,835,427787
208465214,1,28,4,789,343721
210849257,1,23,3,0,426037
212424491,1,8,3,226,660595
220633387,1,24,2,1078,604768
220944529,1,30,14,406,42997
221286469,1,22,14,343,318943
221379642,1,38,14,0,64831
221878584,1,34,14,0,224045
222440927,1,20,14,578,165385
222640324,1,28,5,734,284481
223270303,1,15,10,875,495372
224409755,1,9,2,1148,769017
225339716,1,14,0,1054,990047
225969204,1,23,4,0,182441
226914576,1,8,4,164,601867
235119774,1,24,3,921,450531
235434619,1,30,15,710,345085
235776511,1,22,15,132,105860
236184739,1,38,15,0,205861
237130462,1,28,6,609,157426
237309300,1,34,15,0,107887
237445397,1,15,11,929,545471
237876043,1,20,15,617,202068
237940155,1,40,0,1296,823472
238588144,1,9,3,703,317986
239834305,1,14,1,992,929950
241730499,1,8,5,367,816218
242034746,1,23,5,171,603689
249609747,1,30,16,671,312147
249925143,1,24,4,1179,708995
251211716,1,22,16,296,275394
251620405,1,38,16,179,508684
251803675,1,34,16,0,61935
252051132,1,20,16,609,197445
252250830,1,28,7,1031,582471
253195513,1,15,12,812,428345
253375261,1,40,1,1593,1117984
254023385,1,9,4,750,363670
254635097,1,14,2,1531,1465097
255264248,1,8,6,0,99996
257470143,1,23,6,210,640668
260935130,1,5,0,9734,10182465
264116706,1,30,17,500,155330
265674985,1,24,5,976,505731
266109963,1,38,17,0,240460
266289199,1,5,1,0,208545
266331760,1,22,17,328,301729
266740668,1,28,8,679,228540
266920103,1,34,17,171,460877
267171233,1,20,17,687,278493
268197941,1,9,5,804,424395
268945659,1,15,13,937,553545
269440258,1,40,2,2093,1620500
270069950,1,14,3,968,899950
271014371,1,8,7,0,154798
272274566,1,23,7,0,296658
278278019,1,30,18,437,82264
281103506,1,34,18,0,261463
281120736,1,24,6,1023,553056
281230778,1,28,9,687,242117
281736154,1,5,2,585,1046124
281779982,1,22,18,265,238038
281860363,1,38,18,15,336857
282921377,1,20,18,515,106772
283629938,1,9,6,648,262637
283938034,1,40,3,1484,1016694
284695756,1,15,14,906,522393
284874919,1,14,4,476,408064
286135062,1,8,8,218,656416
288029235,1,23,8,0,293490
293080081,1,30,19,421,64018
296351062,1,28,10,546,96641
296548976,1,24,7,1000,528175
296844752,1,34,19,85,374156
296980204,1,38,19,0,220076
297475132,1,5,3,976,1425717
