sim_time_us,node_id
4311741,38
4311766,22
4311804,20
4311825,30
4311870,34
124797251,9
124797311,15
124797353,24
176619168,17
213312942,18
213312985,12
223868778,26
268600055,37
297580140,10
375384999,39
386095896,2
408299784,6
430349454,27
455711100,8
470669471,31
492565918,25
496661264,23
534930350,35
587221102,19
647547980,13
650220666,14
701881781,16
708028478,21
745351617,5
753856913,40
761282338,40
800792747,28
801951481,28
811836768,13
825362386,33
903483774,11
906633660,4
1004444981,41
1028700649,7
1101151458,32
1238646485,29
1516324069,3
2265758395,35
