sim_time_us,node_id,event,detail
1253629,17,DIS_TX,
1295881,35,DIS_TX,
1335106,6,DIS_TX,
1336476,26,DIS_TX,
1337560,14,DIS_TX,
1376519,40,DIS_TX,
1381347,19,DIS_TX,
1397732,33,DIS_TX,
1398551,27,DIS_TX,
1449421,8,DIS_TX,
1491324,32,DIS_TX,
1493656,18,DIS_TX,
1499122,29,DIS_TX,
1509028,41,DIS_TX,
1542136,16,DIS_TX,
1542500,3,DIS_TX,
1621504,37,DIS_TX,
1673304,34,DIS_TX,
1679280,36,DIS_TX,
1694274,38,DIS_TX,
1737349,21,DIS_TX,
1761198,20,DIS_TX,
1765319,28,DIS_TX,
1827965,24,DIS_TX,
1835056,22,DIS_TX,
1842602,7,DIS_TX,
1854742,31,DIS_TX,
1895365,10,DIS_TX,
1899131,23,DIS_TX,
1956822,12,DIS_TX,
1976446,9,DIS_TX,
1982559,2,DIS_TX,
1994621,4,DIS_TX,
2019684,5,DIS_TX,
2022409,15,DIS_TX,
2049363,13,DIS_TX,
2090284,39,DIS_TX,
2143046,30,DIS_TX,
2204099,11,DIS_TX,
2221362,25,DIS_TX,
4625453,1,DIO_TX,rank=256
4728779,21,DIO_RX,from=0x1
4728783,13,DIO_RX,from=0x1
4728783,30,DIO_RX,from=0x1
4728829,22,DIO_RX,from=0x1
4728833,29,DIO_RX,from=0x1
4778074,21,NBR_ADD,0x1
4778087,30,NBR_ADD,0x1
4778105,13,NBR_ADD,0x1
4778142,22,NBR_ADD,0x1
4778146,29,NBR_ADD,0x1
8746086,30,DIO_TX,rank=576
8746214,13,DIO_TX,rank=576
8746711,21,DIO_TX,rank=512
8750667,22,DIO_TX,rank=512
8750681,29,DIO_TX,rank=576
8823810,21,DIO_RX,from=0xd
8823820,1,DIO_RX,from=0xd
8873617,1,NBR_ADD,0xd
8880724,21,NBR_ADD,0xd
8924639,21,RANK,576
9517641,13,DAO_TX,seq=241
9517702,30,DAO_TX,seq=241
9520139,21,DAO_TX,seq=241
9522306,22,DAO_TX,seq=241
9522983,29,DAO_TX,seq=241
11422280,1,DIO_TX,rank=256
11662358,1,DAO_RX,from=0xd
12124744,1,DAO_RX,from=0x1e
12164656,1,NBR_ADD,0x1e
12289038,1,DIO_RX,from=0x1d
12289057,30,DIO_RX,from=0x1d
12289167,21,DIO_RX,from=0x1d
12339008,1,NBR_ADD,0x1d
12346290,30,NBR_ADD,0x1d
12346692,21,NBR_ADD,0x1d
12390755,30,RANK,576
12391668,21,RANK,576
13113215,30,DIO_TX,rank=640
13113345,13,DIO_TX,rank=576
13266225,22,DIO_TX,rank=512
13266229,29,DIO_TX,rank=576
13277892,21,DIO_TX,rank=640
13383663,29,DIO_RX,from=0x1e
13383664,22,DIO_RX,from=0x1e
13383803,1,DIO_RX,from=0x1e
13445116,29,NBR_ADD,0x1e
13445122,22,NBR_ADD,0x1e
13489234,29,RANK,640
13489236,22,RANK,640
14494161,22,DIO_RX,from=0x15
14494163,29,DIO_RX,from=0x15
14494253,1,DIO_RX,from=0x15
14502418,13,DIO_RX,from=0x15
14544607,1,NBR_ADD,0x15
14551485,22,NBR_ADD,0x15
14551494,29,NBR_ADD,0x15
14559501,13,NBR_ADD,0x15
14596074,22,RANK,640
14596109,29,RANK,640
14603623,13,RANK,640
15127772,1,DAO_RX,from=0x15
20168410,1,DAO_RX,from=0x16
20200997,1,NBR_ADD,0x16
21418065,29,DIO_TX,rank=512
21574017,30,DIO_RX,from=0x1d
21574073,21,DIO_RX,from=0x1d
21577605,1,DIO_RX,from=0x1d
21647971,30,RANK,512
21648361,21,RANK,512
24644600,13,DIO_TX,rank=512
24723870,21,DIO_RX,from=0xd
24727493,1,DIO_RX,from=0xd
24800516,21,RANK,512
25894465,30,DIO_TX,rank=640
25984001,29,DIO_RX,from=0x1e
25992793,22,DIO_RX,from=0x1e
25994593,1,DIO_RX,from=0x1e
26067187,29,RANK,640
26076001,22,RANK,640
26643420,29,DIO_TX,rank=512
26891031,1,DIO_TX,rank=256
27582593,21,DIO_TX,rank=512
27724274,29,DIO_RX,from=0x15
27724482,13,DIO_RX,from=0x15
27724546,22,DIO_RX,from=0x15
27737950,1,DIO_RX,from=0x15
27793822,13,RANK,512
27793861,29,RANK,512
27794189,22,RANK,512
27808229,22,DIO_TX,rank=512
27874051,30,DIO_RX,from=0x16
27874125,21,DIO_RX,from=0x16
27881513,1,DIO_RX,from=0x16
27936040,21,NBR_ADD,0x16
27938165,30,NBR_ADD,0x16
27980719,21,RANK,512
27982364,30,RANK,512
30074725,30,DIO_TX,rank=512
30244305,29,DIO_RX,from=0x1e
30244551,22,DIO_RX,from=0x1e
30247986,1,DIO_RX,from=0x1e
30313702,29,RANK,512
30313897,22,RANK,512
31082095,13,DIO_TX,rank=512
31190182,21,DIO_RX,from=0xd
31192849,1,DIO_RX,from=0xd
31265537,21,RANK,512
34484290,21,DIO_TX,rank=512
34654329,29,DIO_RX,from=0x15
34654540,13,DIO_RX,from=0x15
34654569,22,DIO_RX,from=0x15
34658044,1,DIO_RX,from=0x15
34729888,13,RANK,512
34730215,22,RANK,512
34731138,29,RANK,512
37266228,22,DIO_TX,rank=512
38214782,30,DIO_TX,rank=512
38269122,29,DIO_RX,from=0x1e
38270009,22,DIO_RX,from=0x1e
38272786,1,DIO_RX,from=0x1e
38348928,29,RANK,512
38349793,22,RANK,512
41469366,29,DIO_TX,rank=512
41535220,13,DIO_TX,rank=512
41688073,22,DIO_TX,rank=512
41734054,14,DIO_RX,from=0x16
41734148,30,DIO_RX,from=0x16
41734219,21,DIO_RX,from=0x16
41737674,1,DIO_RX,from=0x16
41791267,14,NBR_ADD,0x16
41816838,30,RANK,512
41817729,21,RANK,512
42344155,1,DIO_TX,rank=256
42529065,29,DIO_RX,from=0x1
42529302,14,DIO_RX,from=0x1
42529320,22,DIO_RX,from=0x1
42529357,30,DIO_RX,from=0x1
42529419,13,DIO_RX,from=0x1
42530153,21,DIO_RX,from=0x1
42586340,14,NBR_ADD,0x1
42604439,22,RANK,256
42604475,30,RANK,256
42604509,13,RANK,256
42605222,21,RANK,256
42605222,29,RANK,256
42630586,14,RANK,256
44065671,14,DIO_TX,rank=896
44104335,13,DIO_RX,from=0xe
44104469,22,DIO_RX,from=0xe
44107950,1,DIO_RX,from=0xe
44161394,13,NBR_ADD,0xe
44161857,22,NBR_ADD,0xe
44168429,1,NBR_ADD,0xe
44205767,13,RANK,896
44206754,22,RANK,896
45850362,29,DAO_TX,seq=242
45963592,21,DAO_TX,seq=242
46013059,1,DAO_RX,from=0x15
46074777,21,DIO_TX,rank=512
46144163,13,DIO_RX,from=0x15
46144226,29,DIO_RX,from=0x15
46145078,22,DIO_RX,from=0x15
46147843,1,DIO_RX,from=0x15
46224253,29,RANK,512
46225174,22,RANK,512
46226611,13,RANK,512
46334753,22,DAO_TX,seq=242
46477447,1,DAO_RX,from=0x16
46665624,14,DAO_TX,seq=241
46884864,30,DAO_TX,seq=242
46943021,22,DAO_RX,from=0xe
47107440,1,DAO_RX,from=0x16
47231310,1,DAO_RX,from=0x1e
48394738,13,DIO_TX,rank=512
48426879,13,DAO_TX,seq=242
48508705,1,DAO_RX,from=0xd
48867793,22,DIO_TX,rank=512
48979144,14,DIO_RX,from=0x16
48979206,30,DIO_RX,from=0x16
48979255,21,DIO_RX,from=0x16
48982724,1,DIO_RX,from=0x16
49061890,14,RANK,512
49061984,30,RANK,512
49062709,21,RANK,512
50871327,1,DIO_TX,rank=256
51034189,29,DIO_RX,from=0x1
51034380,13,DIO_RX,from=0x1
51034381,30,DIO_RX,from=0x1
51034416,14,DIO_RX,from=0x1
51034470,22,DIO_RX,from=0x1
51035201,21,DIO_RX,from=0x1
51109499,13,RANK,256
51109501,30,RANK,256
51109518,22,RANK,256
51109966,14,RANK,256
51110261,21,RANK,256
51117154,29,RANK,256
53708508,13,DIO_RX,from=0x15
53790730,13,RANK,512
53873991,22,DIO_RX,from=0x1e
53912876,29,DAO_TX,seq=243
53947350,30,DAO_TX,seq=243
53949349,22,RANK,512
53994272,14,DIO_TX,rank=768
54019185,13,DIO_RX,from=0xe
54030101,1,DIO_RX,from=0xe
54033922,22,DIO_RX,from=0xe
54092967,13,RANK,768
54108290,22,RANK,768
54126489,14,DAO_TX,seq=242
54161363,1,DAO_RX,from=0x1e
54326002,22,DAO_RX,from=0xe
54338308,21,DIO_RX,from=0xd
54418065,21,RANK,512
54667557,1,DAO_RX,from=0x16
55598547,30,DIO_RX,from=0x16
55677999,30,RANK,512
55878858,30,DIO_TX,rank=512
55909316,29,DIO_RX,from=0x1e
55910162,22,DIO_RX,from=0x1e
55912920,1,DIO_RX,from=0x1e
55989100,29,RANK,512
55989994,22,RANK,512
56147240,22,DAO_TX,seq=245
56151115,21,DAO_TX,seq=243
56242523,1,DAO_RX,from=0x16
56408134,1,DAO_RX,from=0x15
56486379,13,DAO_TX,seq=243
56696106,1,DAO_RX,from=0xd
61253619,17,DIS_TX,
61285642,14,DIO_TX,rank=768
61295871,35,DIS_TX,
61335096,6,DIS_TX,
61336466,26,DIS_TX,
61376509,40,DIS_TX,
61381663,19,DIS_TX,
61397722,33,DIS_TX,
61398541,27,DIS_TX,
61449411,8,DIS_TX,
61491314,32,DIS_TX,
61493646,18,DIS_TX,
61509018,41,DIS_TX,
61542126,16,DIS_TX,
61542490,3,DIS_TX,
61621494,37,DIS_TX,
61673294,34,DIS_TX,
61679270,36,DIS_TX,
61694651,38,DIS_TX,
61761249,20,DIS_TX,
61765309,28,DIS_TX,
61827955,24,DIS_TX,
61842592,7,DIS_TX,
61855119,31,DIS_TX,
61895355,10,DIS_TX,
61899183,23,DIS_TX,
61956873,12,DIS_TX,
61976436,9,DIS_TX,
61982549,2,DIS_TX,
61994611,4,DIS_TX,
62019735,5,DIS_TX,
62022399,15,DIS_TX,
62090274,39,DIS_TX,
62204089,11,DIS_TX,
62221352,25,DIS_TX,
63324959,1,DIO_TX,rank=256
63472769,13,DIO_TX,rank=512
63634509,14,DIO_RX,from=0xd
63640410,21,DIO_RX,from=0xd
63642472,1,DIO_RX,from=0xd
63691447,14,NBR_ADD,0xd
63715786,21,RANK,512
63735384,14,RANK,512
64269430,1,DAO_RX,from=0x1d
64313341,1,NBR_ADD,0x1d
65048655,30,DIO_RX,from=0x1d
65125097,30,RANK,943
67977221,22,DIO_TX,rank=512
68044862,30,DIO_RX,from=0x16
68045684,21,DIO_RX,from=0x16
68048449,1,DIO_RX,from=0x16
68051387,14,DIO_RX,from=0x16
68120254,30,RANK,512
68121332,21,RANK,512
68126459,14,RANK,512
70231731,21,DIO_TX,rank=512
70399365,13,DIO_RX,from=0x15
70400264,22,DIO_RX,from=0x15
70403032,1,DIO_RX,from=0x15
70410685,29,DIO_RX,from=0x15
70478855,13,RANK,512
70480380,22,RANK,512
70493647,29,RANK,512
71833867,14,DAO_TX,seq=243
71966298,22,DAO_RX,from=0xe
72307707,1,DAO_RX,from=0x16
73980456,30,DIO_TX,rank=512
74029591,29,DIO_RX,from=0x1e
74029866,22,DIO_RX,from=0x1e
74033364,1,DIO_RX,from=0x1e
74105223,22,RANK,512
74113992,29,RANK,512
76828791,29,DIO_TX,rank=591
76864974,30,DIO_RX,from=0x1d
76865852,21,DIO_RX,from=0x1d
76868502,1,DIO_RX,from=0x1d
76934604,30,RANK,591
76935752,21,RANK,591
78862489,14,DIO_TX,rank=768
78904442,13,DIO_RX,from=0xe
78905226,22,DIO_RX,from=0xe
78908127,1,DIO_RX,from=0xe
78973278,1,NBR_ADD,0xe
78984179,13,RANK,768
78985695,22,RANK,768
82656860,29,DIO_TX,rank=756
82684339,30,DIO_RX,from=0x1d
82684393,21,DIO_RX,from=0x1d
82687868,1,DIO_RX,from=0x1d
82755548,1,NBR_ADD,0x1d
82760341,30,RANK,756
82761184,21,RANK,756
89570718,1,DIO_TX,rank=256
90724445,29,DIO_RX,from=0x1
90724721,22,DIO_RX,from=0x1
90724737,30,DIO_RX,from=0x1
90724755,14,DIO_RX,from=0x1
90725200,13,DIO_RX,from=0x1
90725533,21,DIO_RX,from=0x1
90799808,30,RANK,256
90799810,22,RANK,256
90800247,13,RANK,256
90800362,14,RANK,256
90800560,29,RANK,256
90800599,21,RANK,256
91269638,13,DIO_TX,rank=512
91355655,21,DIO_RX,from=0xd
91358336,1,DIO_RX,from=0xd
91358548,14,DIO_RX,from=0xd
91430996,21,RANK,512
91433915,14,RANK,512
91438107,29,DIO_TX,rank=700
91504606,30,DIO_RX,from=0x1d
91504660,21,DIO_RX,from=0x1d
91508197,1,DIO_RX,from=0x1d
91581547,30,RANK,700
91582446,21,RANK,700
93166915,30,DAO_TX,seq=244
93536669,1,DAO_RX,from=0x1e
94049526,21,DAO_TX,seq=244
94207954,1,DAO_RX,from=0x15
94807807,22,DAO_TX,seq=247
94987674,1,DAO_RX,from=0x16
95556650,13,DAO_TX,seq=244
95756555,1,DAO_RX,from=0xd
95908967,29,DAO_TX,seq=244
96084390,30,DIO_RX,from=0x1d
96154011,30,RANK,613
96173177,1,DAO_RX,from=0x1d
97178818,13,DIO_RX,from=0xe
97261717,13,RANK,768
98180291,29,DIO_TX,rank=569
98285086,30,DIO_RX,from=0x1d
98286035,21,DIO_RX,from=0x1d
98288669,1,DIO_RX,from=0x1d
98354682,30,RANK,569
98355940,21,RANK,569
100766276,22,DIO_TX,rank=512
100804796,14,DIO_RX,from=0x16
100804886,30,DIO_RX,from=0x16
100805757,21,DIO_RX,from=0x16
100808273,1,DIO_RX,from=0x16
100879937,14,RANK,512
100880272,30,RANK,512
100881415,21,RANK,512
104735841,14,DAO_TX,seq=244
104738547,21,DIO_RX,from=0xd
104818274,21,RANK,512
105041511,22,DAO_RX,from=0xe
105382760,1,DAO_RX,from=0x16
111495328,14,DIO_TX,rank=768
111664607,13,DIO_RX,from=0xe
111665523,22,DIO_RX,from=0xe
111668359,1,DIO_RX,from=0xe
111736145,1,NBR_ADD,0xe
111747771,13,RANK,768
111749529,22,RANK,768
112195919,29,DIO_TX,rank=512
112294787,30,DIO_RX,from=0x1d
112294819,21,DIO_RX,from=0x1d
112298380,1,DIO_RX,from=0x1d
112363664,1,NBR_ADD,0x1d
112368395,30,RANK,512
112369212,21,RANK,512
118599017,13,DIO_RX,from=0x15
118678407,13,RANK,512
121253619,17,DIS_TX,
121295871,35,DIS_TX,
121335158,6,DIS_TX,
121336466,26,DIS_TX,
121376509,40,DIS_TX,
121381663,19,DIS_TX,
121397722,33,DIS_TX,
121398541,27,DIS_TX,
121449411,8,DIS_TX,
121491314,32,DIS_TX,
121493646,18,DIS_TX,
121509018,41,DIS_TX,
121542126,16,DIS_TX,
121542490,3,DIS_TX,
121621494,37,DIS_TX,
121673294,34,DIS_TX,
121679270,36,DIS_TX,
121694651,38,DIS_TX,
121761249,20,DIS_TX,
121765309,28,DIS_TX,
121827955,24,DIS_TX,
121842592,7,DIS_TX,
121855119,31,DIS_TX,
121895355,10,DIS_TX,
121899183,23,DIS_TX,
121956873,12,DIS_TX,
121976436,9,DIS_TX,
121982549,2,DIS_TX,
121994611,4,DIS_TX,
122019735,5,DIS_TX,
122022461,15,DIS_TX,
122090274,39,DIS_TX,
122204089,11,DIS_TX,
122221352,25,DIS_TX,
123174506,30,DIO_RX,from=0x16
123249897,30,RANK,512
124656885,29,DIO_TX,rank=696
124745297,30,DIO_RX,from=0x1d
124746238,21,DIO_RX,from=0x1d
124748872,1,DIO_RX,from=0x1d
124814916,30,RANK,696
124816114,21,RANK,696
129203703,29,DIO_TX,rank=636
129304875,30,DIO_RX,from=0x1d
129304929,21,DIO_RX,from=0x1d
129308497,1,DIO_RX,from=0x1d
129378629,30,RANK,636
129379335,21,RANK,636
132804350,14,DIO_TX,rank=768
132935006,6,DIO_RX,from=0xe
132935311,13,DIO_RX,from=0xe
132935338,22,DIO_RX,from=0xe
132938796,1,DIO_RX,from=0xe
132984323,6,NBR_ADD,0xe
132999839,1,NBR_ADD,0xe
133011011,13,RANK,768
133011250,22,RANK,768
133840469,21,DIO_TX,rank=512
133880101,29,DIO_RX,from=0x15
133960834,29,RANK,512
135391513,6,DIO_TX,rank=1024
137717448,6,DAO_TX,seq=241
137975210,14,DIO_RX,from=0x6
138032703,14,NBR_ADD,0x6
138077999,14,RANK,1024
138135120,22,DIO_RX,from=0x1e
138215083,22,RANK,512
138608773,14,DAO_RX,from=0x6
138746809,22,DAO_RX,from=0xe
139088235,1,DAO_RX,from=0x16
142409357,14,DIO_TX,rank=768
142534802,6,DIO_RX,from=0xe
142614483,6,RANK,768
143016436,29,DIO_TX,rank=1056
144016473,6,DIO_TX,rank=1152
149504542,6,DIO_TX,rank=1024
149780040,14,DIO_RX,from=0x6
149864299,14,RANK,1024
152941407,30,DIO_TX,rank=512
154371226,13,DIO_TX,rank=512
154504856,21,DIO_RX,from=0xd
154504885,14,DIO_RX,from=0xd
154515667,1,DIO_RX,from=0xd
154584736,21,RANK,512
154588023,14,RANK,512
156839054,14,DIO_TX,rank=768
156875192,6,DIO_RX,from=0xe
156875459,13,DIO_RX,from=0xe
156875527,22,DIO_RX,from=0xe
156879402,1,DIO_RX,from=0xe
156950622,6,RANK,768
156951101,13,RANK,768
156951394,22,RANK,768
157188334,6,DIO_TX,rank=1024
157340132,14,DIO_RX,from=0x6
157420892,14,RANK,1024
158070778,1,DIO_TX,rank=256
158135018,29,DIO_RX,from=0x1
158135214,30,DIO_RX,from=0x1
158135231,13,DIO_RX,from=0x1
158135256,14,DIO_RX,from=0x1
158135296,22,DIO_RX,from=0x1
158137699,21,DIO_RX,from=0x1
158210291,30,RANK,256
158210356,13,RANK,256
158210399,22,RANK,256
158210868,14,RANK,256
158211285,29,RANK,256
158216102,21,RANK,256
159085167,1,DAO_RX,from=0x1d
159714477,13,DIO_RX,from=0xe
159790095,13,RANK,768
160307834,30,DAO_TX,seq=245
