sim_time_us,node_id,time_source,join_priority
2086821,13,0x0001,1
2086843,30,0x0001,1
2401816,29,0x0001,1
2401817,22,0x0001,1
2401842,21,0x0001,1
39257365,14,0x000d,2
126512820,38,0x001e,2
126512869,31,0x001e,2
130292757,6,0x000e,3
159272861,5,0x000d,2
159272871,12,0x000d,2
195813395,4,0x000c,3
212508797,37,0x0026,3
212508797,39,0x0026,3
217863350,11,0x000c,3
218178503,3,0x0004,4
289369173,10,0x000b,4
291259128,40,0x0027,4
325909493,7,0x0006,4
329689822,2,0x000a,5
339140509,15,0x000e,3
364339665,32,0x001f,3
400564997,18,0x000a,5
407495098,33,0x0020,4
418835367,41,0x0021,5
473645779,26,0x0012,6
546726215,25,0x0021,5
572241371,24,0x0020,4
572241491,27,0x001a,7
587361707,16,0x000f,6
629887242,17,0x0010,6
639652031,8,0x0007,5
652882218,9,0x0008,7
658552292,34,0x001a,7
673987788,35,0x0022,8
712732459,19,0x000b,4
747068163,28,0x001b,8
758408497,36,0x001c,4
893228793,20,0x0015,2
1203191336,23,0x001f,3
1337067702,42,0x0005,5
1867847059,42,0x0011,7
2171824062,42,0x0016,2
2731268209,42,0x001b,5
2945784939,42,0x0024,5
