sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
60283300,20,0,1966111,44644,1921467,0,0,1965562,1965562
60312203,38,0,1966111,44591,1921520,0,0,1965562,1965562
60316568,36,0,1966111,44528,1921583,0,0,1965562,1965562
60327685,19,0,1966111,44528,1921583,0,0,1965562,1965562
60330921,11,0,1966118,44528,1921590,0,0,1965569,1965569
60369593,42,0,1966041,39836,1926205,0,0,1965118,1965118
60384737,13,0,1966125,80426,1885699,0,6530,114440,120970
60410034,8,0,1966127,44511,1921616,0,0,1965578,1965578
60421880,35,0,1966111,44528,1921583,0,0,1965562,1965562
60446222,5,0,1966127,44866,1921261,0,0,1965578,1965578
60464611,37,0,1966111,44993,1921118,0,0,1965562,1965562
60479735,18,0,1966111,44528,1921583,0,0,1965562,1965562
60481233,17,0,1966111,44528,1921583,0,0,1965562,1965562
60584688,12,0,1966118,44897,1921221,0,0,1965569,1965569
60599354,29,0,1966118,84403,1881715,0,6328,106300,112628
60608389,9,0,1966127,44511,1921616,0,0,1965578,1965578
60643274,1,0,1966169,1966169,0,0,11199,113206,124405
60652973,16,0,1966111,44528,1921583,0,0,1965562,1965562
60661672,28,0,1966111,45183,1920928,0,0,1965562,1965562
60772397,31,0,1966111,44617,1921494,0,0,1965562,1965562
60782166,32,0,1966111,44528,1921583,0,0,1965562,1965562
60794631,15,0,1966118,44688,1921430,0,0,1965569,1965569
60811032,26,0,1966111,44528,1921583,0,0,1965562,1965562
60813726,23,0,1966111,44927,1921184,0,0,1965562,1965562
60785940,21,0,1966118,101508,1864610,0,6498,101648,108146
60829062,10,0,1966118,44528,1921590,0,0,1965569,1965569
60840328,4,0,1966127,44511,1921616,0,0,1965578,1965578
60864878,39,0,1966111,44528,1921583,0,0,1965562,1965562
60875683,3,0,1966127,44511,1921616,0,0,1965578,1965578
60881873,34,0,1966111,44528,1921583,0,0,1965562,1965562
60899572,27,0,1966111,44528,1921583,0,0,1965562,1965562
60900658,22,0,1966118,98761,1867357,0,6598,87279,93877
61007766,24,0,1966111,44528,1921583,0,0,1965562,1965562
61024464,7,0,1966127,44511,1921616,0,0,1965578,1965578
61044594,33,0,1966111,44528,1921583,0,0,1965562,1965562
61057134,14,0,1966126,68087,1898039,0,5075,77218,82293
61081101,41,0,1966111,44528,1921583,0,0,1965562,1965562
61077841,30,0,1966118,89604,1876514,0,6269,81486,87755
61156972,6,0,1966127,44997,1921130,0,0,1965578,1965578
61175334,2,0,1966127,44511,1921616,0,0,1965578,1965578
61243088,40,0,1966111,44528,1921583,0,0,1965562,1965562
61260061,25,0,1966111,44528,1921583,0,0,1965562,1965562
120283298,20,1,1966080,48587,1917493,0,32,1966047,1966079
120312201,38,1,1966080,47807,1918273,0,32,1966047,1966079
120316566,36,1,1966080,48952,1917128,0,32,1966047,1966079
120327683,19,1,1966080,48440,1917640,0,32,1966047,1966079
120330919,11,1,1966080,48446,1917634,0,32,1966047,1966079
120369590,42,1,1966080,41514,1924566,0,0,1966080,1966080
120384728,13,1,1966079,55558,1910521,0,3931,56329,60260
120410032,8,1,1966080,48378,1917702,0,32,1966047,1966079
120421878,35,1,1966080,48210,1917870,0,32,1966047,1966079
120446422,5,1,1966087,49187,1916900,0,1006,982392,983398
120464609,37,1,1966080,46909,1919171,0,32,1966047,1966079
120479733,18,1,1966080,48203,1917877,0,32,1966047,1966079
120481231,17,1,1966080,48432,1917648,0,32,1966047,1966079
120584686,12,1,1966080,47491,1918589,0,32,1966047,1966079
120608387,9,1,1966080,46442,1919638,0,32,1966047,1966079
120599360,29,1,1966080,89441,1876639,0,6083,68562,74645
120652971,16,1,1966080,48213,1917867,0,32,1966047,1966079
120644027,1,1,1966105,1966105,0,0,8720,135756,144476
120665585,28,1,1966108,60684,1905424,0,4386,588263,592649
120772395,31,1,1966080,48770,1917310,0,32,1966047,1966079
120782164,32,1,1966080,48444,1917636,0,32,1966047,1966079
120786968,21,1,1966079,73646,1892433,0,4058,55982,60040
120794629,15,1,1966080,49449,1916631,0,32,1966047,1966079
120811030,26,1,1966080,47752,1918328,0,32,1966047,1966079
120813724,23,1,1966080,48348,1917732,0,32,1966047,1966079
120829060,10,1,1966080,47088,1918992,0,32,1966047,1966079
120840326,4,1,1966080,47310,1918770,0,32,1966047,1966079
120864876,39,1,1966080,47097,1918983,0,32,1966047,1966079
120875681,3,1,1966080,47065,1919015,0,32,1966047,1966079
120881871,34,1,1966080,46465,1919615,0,32,1966047,1966079
120899570,27,1,1966080,46823,1919257,0,32,1966047,1966079
120900648,22,1,1966079,70135,1895944,0,3814,56656,60470
121007764,24,1,1966080,47098,1918982,0,32,1966047,1966079
121024462,7,1,1966080,47060,1919020,0,32,1966047,1966079
121044592,33,1,1966080,47757,1918323,0,32,1966047,1966079
121057123,14,1,1966079,49282,1916797,0,4256,51478,55734
121077847,30,1,1966080,59103,1906977,0,4043,55548,59591
121081099,41,1,1966080,47102,1918978,0,32,1966047,1966079
