sim_time_us,node_id,event,detail
10580602,1,TX,
10587758,21,RX,
10587761,30,RX,
10587763,22,RX,
10587784,13,RX,
10587786,14,RX,
10587786,29,RX,
24392310,1,TX,
24449582,13,RX,
24449582,29,RX,
24449583,30,RX,
24449584,22,RX,
24449589,14,RX,
24449607,21,RX,
35526964,1,TX,
35640130,29,RX,
35640131,14,RX,
35640132,30,RX,
35640133,22,RX,
35640134,13,RX,
35640154,21,RX,
46500177,21,RX,
46500178,13,RX,
46500179,22,RX,
46500179,29,RX,
46500200,14,RX,
46500206,30,RX,
46543038,1,TX,
57780428,1,TX,
57840263,21,RX,
57840264,22,RX,
57840267,13,RX,
57840268,29,RX,
57840269,14,RX,
57840270,30,RX,
60390937,20,TX,
60419490,20,RX,
60419841,38,TX,
60424206,36,TX,
60435323,19,TX,
60438510,11,TX,
60453726,19,RX,
60513684,36,RX,
60517620,8,TX,
60521370,13,TX,
60525403,21,RX,
60525409,1,RX,
60525425,14,RX,
60529519,35,TX,
60553808,5,TX,
60556416,36,RX,
60556416,38,RX,
60571540,19,RX,
60572249,37,TX,
60587372,18,TX,
60588871,17,TX,
60676492,11,RX,
60676498,20,RX,
60692276,12,TX,
60700218,17,RX,
60700422,8,RX,
60715975,9,TX,
60732170,29,TX,
60744777,17,RX,
60744796,8,RX,
60753475,20,RX,
60753476,36,RX,
60760611,16,TX,
60769311,28,TX,
60840398,1,RX,
60840398,21,RX,
60840405,30,RX,
60880036,31,TX,
60886454,16,RX,
60889774,32,TX,
60898440,31,RX,
60902219,15,TX,
60902838,18,RX,
60918049,31,RX,
60918671,26,TX,
60920663,15,RX,
60920867,11,RX,
60921365,23,TX,
60922049,18,RX,
60932136,12,RX,
60932153,5,RX,
60936648,10,TX,
60940106,21,TX,
60947885,4,TX,
60956682,38,RX,
60956683,31,RX,
60967488,4,RX,
60967488,11,RX,
60972516,39,TX,
60973677,26,RX,
60973678,35,RX,
60983241,3,TX,
60989511,34,TX,
60990389,1,RX,
60990393,13,RX,
60990394,22,RX,
60990417,29,RX,
60991384,19,RX,
60991389,28,RX,
60993019,35,RX,
60993198,26,RX,
61007212,27,TX,
61057322,22,TX,
61099570,16,RX,
61099570,23,RX,
61099571,32,RX,
61115405,24,TX,
61116268,15,RX,
61116292,8,RX,
61132052,7,TX,
61136399,32,RX,
61152233,33,TX,
61155430,14,RX,
61155430,21,RX,
61155434,30,RX,
61155435,1,RX,
61155712,23,RX,
61172906,33,RX,
61188739,41,TX,
61215794,14,TX,
61233456,30,TX,
61248776,5,RX,
61248776,7,RX,
61264559,6,TX,
61267163,3,RX,
61267173,10,RX,
61282892,2,TX,
61305392,1,RX,
61305394,22,RX,
61305410,29,RX,
61334892,32,RX,
61334892,39,RX,
61334893,41,RX,
61350726,40,TX,
61351866,17,RX,
61351866,33,RX,
61351890,24,RX,
61367700,25,TX,
62565629,13,RX,
62565641,22,RX,
62565649,1,RX,
62565911,15,RX,
62565939,6,RX,
70977377,1,TX,
71070788,13,RX,
71070790,21,RX,
71070791,22,RX,
71070792,29,RX,
