sim_time_us,node_id,event,peer,detail
11357624,30,LIST,0x0001,
11360328,14,LIST,0x0001,
14120268,21,ADD,0x0001,
14121161,29,ADD,0x0001,
14125483,13,LIST,0x0001,
14125770,22,LIST,0x0001,
15492706,1,EOL,0x0016,
15841932,22,ADD,0x0001,
16122898,1,CELL_ALLOC,0x0016,slot=6 ch=5 dir=Receive
16136888,1,SUCCESS,0x0016,
16752327,1,EOL,0x000d,
18676837,13,ADD,0x0001,
18976004,22,CELL_ALLOC,0x0001,slot=6 ch=5 dir=Transmit
19589677,1,CELL_ALLOC,0x000d,slot=5 ch=4 dir=Receive
19603703,1,SUCCESS,0x000d,
19736753,1,EOL,0x001e,
19921020,13,CELL_ALLOC,0x0001,slot=5 ch=4 dir=Transmit
20252468,30,ADD,0x0001,
20367554,1,CELL_ALLOC,0x001e,slot=4 ch=4 dir=Receive
20381576,1,SUCCESS,0x001e,
21342303,1,SUCCESS,0x001d,
21496170,29,CELL_ALLOC,0x0001,slot=9 ch=2 dir=Transmit
21509126,29,SUCCESS,0x0001,
21811319,30,CELL_ALLOC,0x0001,slot=4 ch=4 dir=Transmit
21855982,1,CELL_ALLOC,0x001d,slot=9 ch=2 dir=Receive
27808326,1,SUCCESS,0x0015,
27951129,21,CELL_ALLOC,0x0001,slot=15 ch=15 dir=Transmit
27964107,21,SUCCESS,0x0001,
28230808,1,CELL_ALLOC,0x0015,slot=15 ch=15 dir=Receive
35282049,14,ADD,0x0001,
49570515,1,LIST,0x000d,
49661812,13,EOL,0x0001,
61481729,30,LIST,0x001d,
61632184,29,EOL,0x001e,
65773807,14,ADD,0x0001,
85949566,28,LIST,0x001d,
86202638,29,EOL,0x001c,
86402604,28,ADD,0x001d,
87634680,29,CELL_ALLOC,0x001c,slot=7 ch=0 dir=Receive
87648962,29,SUCCESS,0x001c,
87803158,28,CELL_ALLOC,0x001d,slot=7 ch=0 dir=Transmit
87937350,22,LIST,0x001e,
87937514,13,LIST,0x000e,
87939700,21,LIST,0x0001,
87955426,29,LIST,0x0001,
88052242,1,EOL,0x0015,
88273180,1,EOL,0x001d,
89667429,30,EOL,0x0016,
89906563,14,ADD,0x0001,
90612372,14,EOL,0x000d,
116648751,14,ADD,0x0001,
126523679,5,LIST,0x000d,
127948433,13,EOL,0x0005,
130341953,5,ADD,0x000d,
130784426,13,CELL_ALLOC,0x0005,slot=4 ch=8 dir=Receive
130798509,13,SUCCESS,0x0005,
130952239,5,CELL_ALLOC,0x000d,slot=4 ch=8 dir=Transmit
133390281,6,LIST,0x0005,
133618045,5,EOL,0x0006,
133810469,6,ADD,0x0005,
133934165,5,CELL_ALLOC,0x0006,slot=3 ch=11 dir=Receive
133948158,5,SUCCESS,0x0006,
134417606,6,CELL_ALLOC,0x0005,slot=3 ch=11 dir=Transmit
139257840,27,LIST,0x001c,
139752890,28,EOL,0x001b,
139953139,27,ADD,0x001c,
140068741,28,CELL_ALLOC,0x001b,slot=6 ch=3 dir=Receive
140082749,28,SUCCESS,0x001b,
140252169,27,CELL_ALLOC,0x001c,slot=6 ch=3 dir=Transmit
140789426,14,ADD,0x0001,
161303370,5,LIST,0x0006,
161338258,6,EOL,0x0005,
176081309,4,LIST,0x0005,
176293121,5,EOL,0x0004,
176493831,4,ADD,0x0005,
176609109,5,CELL_ALLOC,0x0004,slot=2 ch=1 dir=Receive
176623129,5,SUCCESS,0x0004,
176792417,4,CELL_ALLOC,0x0005,slot=2 ch=1 dir=Transmit
186891457,5,ADD,0x0006,
187194621,6,SUCCESS,0x0005,
187418536,5,CELL_ALLOC,0x0006,slot=14 ch=10 dir=Transmit
187431519,5,SUCCESS,0x0006,
187618967,6,CELL_ALLOC,0x0005,slot=14 ch=10 dir=Receive
192439064,37,LIST,0x001d,
192931569,37,LIST,0x0024,
193122024,36,LIST,0x001c,
193154003,28,EOL,0x0024,
193467139,28,LIST,0x001b,
193611602,36,LIST,0x0025,
194248087,27,EOL,0x001c,
196138710,29,EOL,0x0025,
196453233,36,EOL,0x0025,
199603322,37,EOL,0x0024,
199803673,36,ADD,0x001c,
200234400,28,CELL_ALLOC,0x0024,slot=5 ch=4 dir=Receive
200248469,28,SUCCESS,0x0024,
200417829,36,CELL_ALLOC,0x001c,slot=5 ch=4 dir=Transmit
200421342,3,LIST,0x0004,
200713792,4,EOL,0x0003,
200723915,26,LIST,0x001b,
200903611,3,ADD,0x0004,
