sim_time_us,node_id,seq
12303621,30,0
12481566,13,0
12523444,22,0
12613515,14,0
26769202,22,1
27873907,30,1
28403405,13,1
28535363,14,1
41304644,22,2
41718957,21,0
42998874,30,2
43271439,13,2
44142715,14,2
56218896,21,1
56460893,29,0
56531216,22,3
57895588,13,3
58514508,30,3
59328589,14,3
70492181,29,1
71320498,21,2
72296861,22,4
72928634,30,4
73629983,13,4
74527567,14,4
85882776,29,2
86492144,22,5
86563344,21,3
87770579,13,5
88208465,30,5
90480652,14,5
99999983,29,3
100882979,21,4
102109355,22,6
102967680,30,6
103184665,13,6
104911774,14,6
114476536,29,4
115238433,21,5
116914009,22,7
117717657,30,7
118825256,13,7
119091512,14,7
130289259,21,6
130484368,29,5
131102090,38,0
132437486,22,8
132678624,30,8
134133042,14,8
134372190,13,8
145023585,21,7
145324842,38,1
146414594,29,6
146907520,30,9
147101127,22,9
149699402,14,9
149817444,13,9
159570759,38,2
160507989,21,8
161179684,29,7
162838985,30,10
163101659,22,10
164512042,14,10
165075406,13,10
173977019,38,3
175781899,21,9
177085901,29,8
177828211,22,11
178571734,30,11
179731656,13,11
180484554,14,11
188742664,38,4
190886514,21,10
192304823,22,12
192507796,29,9
194047487,30,12
194755123,13,12
195066801,14,12
203286757,38,5
206461224,21,11
206562616,29,10
207453212,22,13
208503465,30,13
209091031,13,13
209402668,14,13
217359812,38,6
220844037,21,12
221953229,29,11
223430905,22,14
223514649,30,14
223536334,13,14
224700079,14,14
231391941,38,7
232105653,39,0
234645382,31,0
234890912,21,13
236398541,29,12
237961024,22,15
238497271,13,15
239280274,30,15
240097970,14,15
247078621,38,8
247420687,37,0
247420913,39,1
249246251,21,14
250129704,31,1
250656384,29,13
252148564,22,16
253565245,30,16
253788133,13,16
254808977,14,16
261516092,38,9
261876007,37,1
263393312,39,2
264242474,21,15
265078218,29,14
265556082,31,2
267086024,22,17
268824533,14,17
269389648,30,17
269614479,13,17
275992764,38,10
277559390,37,2
277999031,39,3
279008129,21,16
279179835,29,15
281043756,31,3
283000106,22,18
283402657,14,18
284155862,30,18
285536344,13,18
292003921,38,11
292160952,37,3
293999609,39,4
294265911,21,17
295031367,29,16
296543756,31,4
297484462,22,19
298527667,14,19
299510446,30,19
300348834,13,19
306359992,38,12
306582857,37,4
308856941,39,5
309277686,21,18
309741063,40,0
310036978,28,0
310515781,29,17
310793776,31,5
312359521,22,20
313808947,14,20
314653570,13,20
314968333,30,20
320602160,38,13
321621900,37,5
323327166,39,6
324476872,21,19
324593867,29,18
324607269,28,1
324983221,40,1
325185024,31,6
326770029,22,21
328684781,13,21
328746417,14,21
329084951,30,21
335416059,38,14
337106255,37,6
338938583,39,7
339130706,28,2
339422002,29,19
339773758,21,20
340318498,31,7
340522252,40,2
342520015,22,22
342840157,14,22
343231647,13,22
344053721,30,22
349656828,38,15
352512515,37,7
352631603,36,0
354099486,28,3
354648737,21,21
354718637,39,8
354772233,40,3
355047334,31,8
355226679,29,20
357796962,22,23
358421772,30,23
358629240,14,23
359184771,13,23
363688126,38,16
367028169,37,8
367537871,36,1
368514321,32,0
369264470,40,4
369389676,39,9
369687820,21,22
369818226,28,4
370461363,31,9
370765762,29,21
371836064,22,24
372955793,30,24
373442623,13,24
373592102,14,24
378894921,38,17
381380629,37,9
381584736,36,2
382584635,32,1
383690311,27,0
383789128,39,10
384280962,41,0
384453445,21,23
385046838,40,5
385451038,28,5
385945409,22,25
386286073,31,10
386774224,29,22
388153541,13,25
388706714,30,25
389246419,14,25
393625587,38,18
395659386,36,3
396434530,37,10
397076814,32,2
398702777,41,1
398737466,39,11
398854314,27,1
399297891,21,24
399584743,40,6
399690057,33,0
400974467,28,6
401187587,22,26
401395468,31,11
402169146,13,26
402555491,29,23
404455771,30,26
404558908,14,26
407886931,38,19
410453468,36,4
410903290,37,11
412998698,32,3
413394467,41,2
413844050,21,25
414124158,39,12
414182081,33,1
414254464,40,7
414286433,26,0
414490824,27,2
415052591,28,7
416442323,31,12
416578369,22,27
416637896,13,27
418422027,29,24
418625278,14,27
419647452,30,27
422133420,38,20
425787905,36,5
426418935,37,12
428353911,41,3
428959665,32,4
429107289,28,8
429264480,40,8
429286962,26,1
429398758,21,26
429682411,39,13
429689914,33,2
429815271,27,3
431457959,31,13
431723854,13,28
432441368,22,28
433750140,14,28
433914189,29,25
