sim_time_us,event,detail
598826,BOOT,
10635088,STATUS,tick=1
20642900,STATUS,tick=2
30650712,STATUS,tick=3
40658525,STATUS,tick=4
50666337,STATUS,tick=5
60677122,STATUS,tick=6
70690068,STATUS,tick=7
80697587,STATUS,tick=8
90705400,STATUS,tick=9
100713352,STATUS,tick=10
110721165,STATUS,tick=11
120728997,STATUS,tick=12
130736790,STATUS,tick=13
140744602,STATUS,tick=14
150752688,STATUS,tick=15
160760228,STATUS,tick=16
170768040,STATUS,tick=17
180775872,STATUS,tick=18
190783665,STATUS,tick=19
200791765,STATUS,tick=20
210799290,STATUS,tick=21
220807103,STATUS,tick=22
230815198,STATUS,tick=23
240822747,STATUS,tick=24
250830540,STATUS,tick=25
260838352,STATUS,tick=26
270846165,STATUS,tick=27
280853977,STATUS,tick=28
290861790,STATUS,tick=29
300869623,STATUS,tick=30
310877688,STATUS,tick=31
320885228,STATUS,tick=32
330893041,STATUS,tick=33
340900853,STATUS,tick=34
350908666,STATUS,tick=35
360916775,STATUS,tick=36
370924291,STATUS,tick=37
380932103,STATUS,tick=38
390940199,STATUS,tick=39
400947728,STATUS,tick=40
410955540,STATUS,tick=41
420963373,STATUS,tick=42
430971165,STATUS,tick=43
440978978,STATUS,tick=44
450986790,STATUS,tick=45
460994603,STATUS,tick=46
471002689,STATUS,tick=47
481010248,STATUS,tick=48
491018041,STATUS,tick=49
501025853,STATUS,tick=50
511033666,STATUS,tick=51
521041758,STATUS,tick=52
531049292,STATUS,tick=53
541057124,STATUS,tick=54
551065201,STATUS,tick=55
561072729,STATUS,tick=56
571080542,STATUS,tick=57
581088354,STATUS,tick=58
591096167,STATUS,tick=59
601103999,STATUS,tick=60
611111792,STATUS,tick=61
621119604,STATUS,tick=62
631127691,STATUS,tick=63
641135229,STATUS,tick=64
651143042,STATUS,tick=65
661150874,STATUS,tick=66
671158667,STATUS,tick=67
681166758,STATUS,tick=68
691174292,STATUS,tick=69
701182104,STATUS,tick=70
711190201,STATUS,tick=71
721197749,STATUS,tick=72
731205541,STATUS,tick=73
741213354,STATUS,tick=74
751221166,STATUS,tick=75
761228979,STATUS,tick=76
771236791,STATUS,tick=77
781244624,STATUS,tick=78
791252691,STATUS,tick=79
801260229,STATUS,tick=80
811268041,STATUS,tick=81
821275854,STATUS,tick=82
831283666,STATUS,tick=83
841291777,STATUS,tick=84
851299291,STATUS,tick=85
861307104,STATUS,tick=86
871315200,STATUS,tick=87
881322729,STATUS,tick=88
891330541,STATUS,tick=89
901338382,STATUS,tick=90
911346165,STATUS,tick=91
921353978,STATUS,tick=92
931361790,STATUS,tick=93
941369603,STATUS,tick=94
951377688,STATUS,tick=95
961385248,STATUS,tick=96
971393041,STATUS,tick=97
981400853,STATUS,tick=98
