sim_time_us,node_id
4464878,13
4464890,14
4464926,30
4464928,22
4464943,29
4465015,21
129674641,15
155504895,6
216930661,7
216930876,23
220242702,31
239823335,23
271952045,31
273945854,16
275682759,20
289542820,28
298832007,24
300406781,27
300406823,36
302982306,24
313636885,38
334427630,35
335848631,39
336478913,32
365143680,17
397427953,40
409713657,37
417273019,12
418432498,37
443894606,41
464684567,8
468617936,9
484844690,26
511620204,18
530674187,34
576194512,5
605490768,25
610530072,4
610683515,14
622340276,33
708335430,16
714004440,6
729916004,11
732436954,8
736216298,7
743618713,10
797642532,17
824731832,9
845045612,3
930726801,2
947583692,19
947790540,19
1294401037,15
1295396472,15
