sim_time_us,receiver_id,src_id,seq,latency_reported_ms,aoi_us
18987290,1,22,0,-1,7153099
20713569,1,21,0,-1,8668473
27005763,1,21,1,-1,171679
27170186,1,22,1,-1,179818
27644108,1,14,0,-1,14961957
28587053,1,14,1,-1,225289
28920337,1,29,0,-1,16927648
30172267,1,29,1,-1,2257754
31627783,1,30,1,-1,5483148
42013485,1,30,2,-1,384476
42448823,1,21,2,-1,185051
42613270,1,22,2,-1,363886
43074527,1,14,2,-1,314315
43109381,1,29,2,-1,516828
56188763,1,30,3,-1,266234
56825789,1,31,0,-1,596789
57738477,1,22,3,-1,263725
57884816,1,21,3,-1,276839
58211063,1,29,3,-1,273126
58818110,1,14,3,-1,256905
71325374,1,31,1,-1,635988
72264030,1,30,4,-1,447481
72384351,1,21,4,-1,76981
73178612,1,22,4,-1,1008528
73340579,1,29,4,-1,199507
74462184,1,32,0,-1,1742630
74884629,1,14,4,-1,413460
87059254,1,31,2,-1,635010
88004262,1,32,1,-1,939322
101234368,1,31,3,-1,490304
104392999,1,23,0,-1,586618
105330401,1,32,2,-1,3524928
115725598,1,31,4,-1,637251
118875764,1,32,3,-1,1562461
120135358,1,23,1,-1,539260
129927782,1,31,5,-1,636833
135888893,1,23,2,-1,792755
144393959,1,31,6,-1,438978
147859254,1,32,5,-1,795961
148858542,1,24,0,-1,1448794
152273346,1,23,3,-1,1716280
160148132,1,31,7,-1,630651
162667868,1,32,6,-1,1401440
163614851,1,24,1,-1,900466
165819606,1,23,4,-1,528195
169921641,1,33,0,-1,8289345
174639360,1,31,8,-1,754682
177158843,1,32,7,-1,781158
178735912,1,24,2,-1,1919940
179048579,1,33,1,-1,1763380
181569415,1,23,5,-1,676432
