sim_time_us,node_id,event,detail
10851591,1,TX,
24649086,1,TX,
36812728,1,TX,
50545317,1,TX,
50551185,22,RX,
50551188,34,RX,
50551189,20,RX,
50551203,38,RX,
50551211,30,RX,
60393630,17,TX,
60435883,35,TX,
60459273,35,RX,
60475056,6,TX,
60476478,26,TX,
60477511,14,TX,
60493220,6,RX,
60500686,14,RX,
60516520,40,TX,
60521348,19,TX,
60522718,6,RX,
60537734,33,TX,
60538554,27,TX,
60573617,14,RX,
60589370,8,TX,
60615491,33,RX,
60617824,17,RX,
60631295,32,TX,
60633656,18,TX,
60639125,29,TX,
60649029,41,TX,
60667447,41,RX,
60682137,16,TX,
60682421,3,TX,
60745696,18,RX,
60761505,37,TX,
60819281,36,TX,
60835995,34,TX,
60855675,38,TX,
60861516,19,RX,
60861516,29,RX,
60877319,21,TX,
60905322,28,TX,
60921477,20,TX,
60952133,17,RX,
60966770,16,RX,
60966770,32,RX,
60967967,24,TX,
60978922,19,RX,
60982553,7,TX,
60994745,31,TX,
61001346,22,TX,
61019532,18,RX,
61030611,8,RX,
61030616,16,RX,
61035314,10,TX,
61046429,23,TX,
61080990,17,RX,
61080990,37,RX,
61081038,18,RX,
61096773,12,TX,
61100615,31,RX,
61100638,24,RX,
61106781,17,RX,
61111381,1,RX,
61116395,9,TX,
61118788,32,RX,
61118789,33,RX,
61122480,2,TX,
61134541,4,TX,
61143851,8,RX,
61143859,3,RX,
61143876,40,RX,
61143878,14,RX,
61143881,41,RX,
61146576,26,RX,
61159633,5,TX,
61162360,15,TX,
61173530,33,RX,
61173556,35,RX,
61173573,28,RX,
61189314,13,TX,
61214451,10,RX,
61214480,31,RX,
61230285,39,TX,
61311389,30,TX,
61328267,40,RX,
61344051,11,TX,
61345530,35,RX,
61345558,27,RX,
61346049,6,RX,
61361364,25,TX,
61426201,1,RX,
61426206,38,RX,
61426484,9,RX,
61426484,24,RX,
61426493,15,RX,
65011423,1,TX,
65041294,30,RX,
65041298,34,RX,
65041299,20,RX,
65041300,38,RX,
65041306,22,RX,
78121435,34,RX,
78121438,38,RX,
78121439,22,RX,
78121457,20,RX,
78121460,30,RX,
78143744,1,TX,
91488668,1,TX,
106471654,20,RX,
106471658,30,RX,
106471660,22,RX,
106471677,38,RX,
106471679,34,RX,
106483489,1,TX,
117181739,30,RX,
117181742,22,RX,
117181742,38,RX,
117181753,20,RX,
117181754,34,RX,
117186427,1,TX,
121811641,38,TX,
121824141,30,TX,
121948624,20,TX,
122026276,22,TX,
122799196,18,RX,
122833664,17,TX,
122840929,6,RX,
122870747,35,TX,
122873377,27,RX,
122873378,26,RX,
122874796,8,RX,
122874796,40,RX,
122891811,35,RX,
122904539,14,TX,
122912535,6,TX,
122925408,14,RX,
122925878,21,RX,
122935308,6,RX,
122942780,32,RX,
122946742,26,TX,
122951055,19,TX,
122956513,40,TX,
122959581,6,RX,
122972539,33,TX,
122983847,27,TX,
122987201,14,RX,
123021602,8,TX,
123029079,7,RX,
123029084,33,RX,
123040255,10,RX,
123040255,17,RX,
123040255,37,RX,
123043138,21,RX,
123053578,3,RX,
123063447,32,TX,
123063670,29,TX,
123078688,41,TX,
123084012,18,TX,
123086668,23,RX,
123086694,7,RX,
123098537,41,RX,
123104275,3,TX,
123111857,16,TX,
123168117,12,RX,
123168123,18,RX,
123211857,37,TX,
123238635,36,TX,
123274605,19,RX,
123274610,29,RX,
123304427,21,TX,
123309346,13,RX,
123329869,28,TX,
123375102,9,RX,
123381389,16,RX,
123381389,32,RX,
123399274,19,RX,
123399274,39,RX,
123399433,9,RX,
123423662,24,TX,
123424464,31,TX,
123425071,7,TX,
123434666,18,RX,
123434672,39,RX,
123443663,16,RX,
123443688,8,RX,
123468853,23,TX,
123483415,10,TX,
123495608,37,RX,
123495665,18,RX,
123516163,24,RX,
123516163,31,RX,
123530323,32,RX,
123534067,2,TX,
123539327,12,TX,
123546080,4,TX,
123555371,41,RX,
123555372,3,RX,
123555374,8,RX,
123569377,9,TX,
123571172,5,TX,
123585574,28,RX,
123604710,15,TX,
123606065,13,TX,
123637814,10,RX,
123637856,31,RX,
123673301,34,TX,
123691333,39,TX,
123755590,11,TX,
123780718,25,TX,
127949707,1,TX,
128041787,22,RX,
128041787,30,RX,
128041788,38,RX,
128041789,20,RX,
128041814,34,RX,
142175849,1,TX,
142216895,22,RX,
142216897,34,RX,
142216898,38,RX,
142216899,30,RX,
142216919,20,RX,
154982455,38,RX,
154982456,22,RX,
154982457,20,RX,
154982457,34,RX,
154982468,30,RX,
154996505,1,TX,
165952159,1,TX,
166007538,20,RX,
166007539,30,RX,
166007542,22,RX,
166007542,34,RX,
166007553,38,RX,
178922643,34,RX,
178922644,30,RX,
178922645,20,RX,
178922667,38,RX,
178922668,22,RX,
178941994,1,TX,
184063856,38,TX,
184089748,34,TX,
184112743,15,RX,
184427716,34,RX,
184469916,20,TX,
184592814,22,RX,
184592818,2,RX,
184607588,6,RX,
184623189,17,TX,
184641455,40,RX,
184641456,8,RX,
184646773,35,TX,
184655142,26,RX,
184655142,27,RX,
184669721,35,RX,
184680558,14,TX,
184698962,6,TX,
184703098,14,RX,
184708923,32,RX,
184722613,6,RX,
184731533,26,TX,
184732237,19,TX,
184735142,40,TX,
184743313,33,TX,
184746826,6,RX,
184762160,14,RX,
184770499,27,TX,
184803545,33,RX,
184810907,8,TX,
184819203,3,RX,
184829855,37,RX,
184831836,29,TX,
184844320,41,TX,
184847267,32,TX,
184864167,41,RX,
184869905,3,TX,
184878640,18,TX,
184898088,16,TX,
184957681,18,RX,
184988636,36,TX,
185006490,37,TX,
185040230,19,RX,
185040235,29,RX,
185070062,21,TX,
185087688,28,TX,
185167897,19,RX,
185167917,9,RX,
185170760,32,RX,
185170761,16,RX,
185194712,9,RX,
185209290,16,RX,
185209319,8,RX,
185214483,7,TX,
185221171,31,TX,
185225761,24,TX,
185231957,18,RX,
185231968,39,RX,
185234482,23,TX,
185280309,33,RX,
185280323,32,RX,
185284980,37,RX,
185285005,18,RX,
185285438,10,TX,
185296080,4,TX,
185305371,14,RX,
185305371,41,RX,
185305372,3,RX,
185305372,8,RX,
185305372,40,RX,
185313039,24,RX,
185313040,31,RX,
185321172,5,TX,
185328722,12,TX,
185343382,28,RX,
185343394,35,RX,
185343408,33,RX,
185363883,13,TX,
185366252,9,TX,
185373275,30,RX,
185373275,38,RX,
185409288,15,TX,
185434692,10,RX,
185434731,31,RX,
185488209,39,TX,
185493841,40,RX,
185505590,11,TX,
185515873,27,RX,
185530719,25,TX,
186792682,22,TX,
186798618,1,RX,
186798618,17,RX,
186798619,2,RX,
186877534,30,TX,
186948166,1,RX,
186948167,15,RX,
186948168,38,RX,
188058700,22,RX,
188058702,17,RX,
188064909,2,TX,
191816619,1,TX,
191838584,38,RX,
191838586,20,RX,
191838586,30,RX,
191838607,22,RX,
191838609,34,RX,
201918663,34,RX,
201918670,38,RX,
201918684,20,RX,
201918688,22,RX,
201918707,30,RX,
201956303,1,TX,
215778771,34,RX,
215778772,38,RX,
215778773,22,RX,
215778782,30,RX,
215778798,20,RX,
215816838,1,TX,
226008811,34,RX,
226008812,30,RX,
226008813,20,RX,
226008833,38,RX,
226008842,22,RX,
226009951,1,TX,
236537537,1,TX,
236568929,30,RX,
236568931,38,RX,
236568932,34,RX,
236568933,20,RX,
236568947,22,RX,
244178203,34,TX,
245944872,6,RX,
245979024,40,RX,
245993725,35,TX,
245999723,26,RX,
245999723,27,RX,
246018482,35,RX,
246027830,14,TX,
246038943,32,RX,
246048555,6,TX,
246052100,14,RX,
246073220,6,RX,
246080874,26,TX,
246081785,40,TX,
246083869,19,TX,
246087712,33,TX,
246119482,27,TX,
246122326,21,RX,
246139515,3,RX,
246139518,5,RX,
246147812,33,RX,
246147813,4,RX,
246147813,7,RX,
246152179,29,TX,
246164631,41,TX,
246165474,5,RX,
246167220,8,TX,
246168636,23,RX,
246168637,34,RX,
246181913,10,RX,
246181913,37,RX,
246181918,12,RX,
246184479,41,RX,
246190544,3,TX,
246196589,32,TX,
246198130,7,RX,
246235401,18,TX,
246241832,16,TX,
246293334,36,TX,
246309761,18,RX,
246309786,12,RX,
246360544,19,RX,
246360554,29,RX,
246363249,37,TX,
246379963,13,RX,
246390375,21,TX,
246400451,28,TX,
246514714,16,RX,
246514714,32,RX,
246563492,7,TX,
246577323,24,TX,
246579604,23,TX,
246580546,31,TX,
246583521,18,RX,
246583530,39,RX,
246588619,32,RX,
246611092,3,RX,
246611092,41,RX,
246629454,37,RX,
246636151,5,TX,
246637000,10,TX,
246637386,4,TX,
246655881,28,RX,
246664600,24,RX,
246664601,31,RX,
246676398,13,TX,
246682941,12,TX,
246717825,9,TX,
246786251,10,RX,
246786320,31,RX,
246810282,11,TX,
246835417,25,TX,
246839771,39,TX,
247257973,17,TX,
247279079,22,RX,
247279091,2,RX,
247527492,38,TX,
247631224,15,TX,
248539055,38,RX,
248539057,1,RX,
248539057,34,RX,
248562649,20,TX,
249253643,2,TX,
249313648,22,TX,
250256678,30,TX,
250264109,1,RX,
250264109,38,RX,
250264113,15,RX,
250744064,30,RX,
250751511,1,TX,
262503124,1,TX,
262549092,30,RX,
262549094,20,RX,
262549095,34,RX,
262549102,38,RX,
262549118,22,RX,
275439726,1,TX,
