sim_time_us,receiver_id,src_id,seq,latency_reported_ms,aoi_us
24399874,1,22,0,-1,12086319
26907836,1,22,1,-1,346187
27103988,1,34,0,-1,14951560
28353048,1,34,1,-1,630993
28597702,1,38,0,-1,16424928
29849524,1,38,1,-1,2106475
31947293,1,20,0,-1,19707595
33199208,1,20,1,-1,5389225
42211939,1,30,0,-1,29590455
42655309,1,20,2,-1,314099
42693449,1,22,2,-1,137757
43148896,1,30,1,-1,14603445
43711305,1,38,2,-1,363296
43793001,1,34,2,-1,109998
44093903,1,30,2,-1,409969
58087356,1,20,3,-1,472699
58417309,1,22,3,-1,119420
59223589,1,30,3,-1,344333
59258320,1,34,3,-1,348745
59463363,1,38,3,-1,376000
72910670,1,20,4,-1,280359
74021384,1,30,4,-1,115752
74482432,1,22,4,-1,184513
74670879,1,34,4,-1,73794
74906617,1,38,4,-1,351062
87701684,1,20,5,-1,137712
89287405,1,22,5,-1,239492
89388769,1,38,5,-1,325388
89459916,1,30,5,-1,491905
90413101,1,34,5,-1,167588
102187728,1,20,6,-1,295874
104092661,1,22,6,-1,138531
104823707,1,38,6,-1,260359
104891339,1,30,6,-1,105833
105532976,1,34,6,-1,99983
117308066,1,20,7,-1,100472
119697078,1,30,7,-1,165619
120158072,1,22,7,-1,196116
120338571,1,34,7,-1,655545
121204266,1,38,7,-1,618945
133381631,1,20,8,-1,188819
134832413,1,30,8,-1,131034
134875444,1,34,8,-1,192392
135286093,1,22,8,-1,320342
136647427,1,38,8,-1,302790
147863342,1,20,9,-1,92445
149003815,1,34,9,-1,109884
149453294,1,22,9,-1,280414
150881979,1,30,9,-1,330848
152389561,1,38,9,-1,363590
153555068,1,2,0,-1,6986534
162669734,1,20,10,-1,234625
162993681,1,2,1,-1,556110
163810363,1,34,10,-1,244398
165519680,1,22,10,-1,361743
166318842,1,30,10,-1,162747
167826043,1,38,10,-1,362555
177159775,1,20,11,-1,310613
178743832,1,2,2,-1,485949
178992354,1,34,11,-1,152971
180639793,1,22,11,-1,458169
180815806,1,30,11,-1,358295
182000927,1,38,11,-1,85847
191979326,1,20,12,-1,184812
400719228,1,5,0,-1,744106
416445341,1,5,1,-1,492056
431880485,1,5,2,-1,491697
433455477,1,3,0,-1,1817270
446693727,1,41,0,-1,3604627
460230867,1,41,1,-1,1415265
476295998,1,41,2,-1,2200387
489841120,1,41,3,-1,1422087
1060006441,1,11,0,-1,1152007
