sim_time_us,node_id
4797131,34
4797158,38
4797176,22
4797177,30
4797195,20
136307700,17
136307793,2
145757974,15
237269760,8
237269762,23
254118827,12
286095135,18
305467507,37
336964641,10
369885585,26
384844104,5
416344604,40
416344661,3
424853771,24
425956134,9
436036334,41
485645894,6
515573528,31
519197457,39
549275714,35
598416160,25
621906598,10
670236453,14
688822038,27
719853736,13
740643606,33
741427638,19
827742348,32
890269911,16
898460067,21
1024775982,28
1037409978,13
1042416450,29
1042731419,11
1069191710,4
1181332901,7
1181700486,7
