sim_time_us,node_id,period,total,cpu,lpm,deep_lpm,radio_tx,radio_rx,radio_total
60283502,20,0,1966118,84012,1882106,0,5443,111788,117231
60312405,38,0,1966118,87452,1878666,0,6816,115412,122228
60316568,36,0,1966111,44528,1921583,0,0,1965562,1965562
60327685,19,0,1966111,44528,1921583,0,0,1965562,1965562
60330921,11,0,1966118,44528,1921590,0,0,1965569,1965569
60369593,42,0,1966041,39836,1926205,0,0,1965118,1965118
60384536,13,0,1966118,44528,1921590,0,0,1965569,1965569
60410034,8,0,1966127,44595,1921532,0,0,1965578,1965578
60421880,35,0,1966111,44528,1921583,0,0,1965562,1965562
60446222,5,0,1966127,44511,1921616,0,0,1965578,1965578
60464611,37,0,1966111,44528,1921583,0,0,1965562,1965562
60479735,18,0,1966111,44528,1921583,0,0,1965562,1965562
60481233,17,0,1966111,44606,1921505,0,0,1965562,1965562
60584688,12,0,1966118,44528,1921590,0,0,1965569,1965569
60599153,29,0,1966111,44528,1921583,0,0,1965562,1965562
60608389,9,0,1966127,45165,1920962,0,0,1965578,1965578
60652973,16,0,1966111,44528,1921583,0,0,1965562,1965562
60661672,28,0,1966111,44899,1921212,0,0,1965562,1965562
60643282,1,0,1966169,1966169,0,0,10428,86025,96453
60772397,31,0,1966111,44528,1921583,0,0,1965562,1965562
60782166,32,0,1966111,44528,1921583,0,0,1965562,1965562
60785739,21,0,1966111,44528,1921583,0,0,1965562,1965562
60794860,15,0,1966126,57815,1908311,0,1636,1451039,1452675
60811032,26,0,1966111,44946,1921165,0,0,1965562,1965562
60813726,23,0,1966111,44632,1921479,0,0,1965562,1965562
60829062,10,0,1966118,44528,1921590,0,0,1965569,1965569
60840328,4,0,1966127,44511,1921616,0,0,1965578,1965578
60864878,39,0,1966111,44528,1921583,0,0,1965562,1965562
60875683,3,0,1966127,44511,1921616,0,0,1965578,1965578
60882074,34,0,1966118,74240,1891878,0,6457,87071,93528
60899572,27,0,1966111,44528,1921583,0,0,1965562,1965562
60900658,22,0,1966118,65211,1900907,0,6373,84697,91070
61007766,24,0,1966111,44900,1921211,0,0,1965562,1965562
61024464,7,0,1966127,44511,1921616,0,0,1965578,1965578
61044594,33,0,1966111,44528,1921583,0,0,1965562,1965562
61056905,14,0,1966118,44528,1921590,0,0,1965569,1965569
61081101,41,0,1966111,44528,1921583,0,0,1965562,1965562
61077840,30,0,1966118,72478,1893640,0,5486,75887,81373
61156972,6,0,1966127,44511,1921616,0,0,1965578,1965578
61175334,2,0,1966127,44666,1921461,0,0,1965578,1965578
61243088,40,0,1966111,44528,1921583,0,0,1965562,1965562
61260061,25,0,1966111,44528,1921583,0,0,1965562,1965562
