sim_time_us,node_id,event,peer,detail
11357624,30,LIST,0x0001,
12806687,1,EOL,0x001e,
14122879,34,LIST,0x0001,
14123462,38,LIST,0x0001,
14125839,22,LIST,0x0001,
14132650,20,LIST,0x0001,
14625248,20,LIST,0x0022,
15807403,1,EOL,0x0016,
16586825,1,EOL,0x0014,
16752346,1,EOL,0x0022,
17571200,34,ADD,0x0001,
17698140,1,CELL_ALLOC,0x0022,slot=13 ch=14 dir=Receive
17712257,1,SUCCESS,0x0022,
18161780,1,EOL,0x0026,
24961405,34,CELL_ALLOC,0x0001,slot=13 ch=14 dir=Transmit
27497446,22,ADD,0x0001,
28723158,1,CELL_ALLOC,0x0016,slot=7 ch=11 dir=Receive
28737303,1,SUCCESS,0x0016,
30781499,22,CELL_ALLOC,0x0001,slot=7 ch=11 dir=Transmit
34900021,38,ADD,0x0001,
36598348,1,CELL_ALLOC,0x0026,slot=12 ch=1 dir=Receive
36612373,1,SUCCESS,0x0026,
36766756,38,CELL_ALLOC,0x0001,slot=12 ch=1 dir=Transmit
49574308,1,LIST,0x0022,
49661769,34,EOL,0x0001,
57948626,15,LIST,0x001e,
58441266,15,LIST,0x0026,
64466888,30,EOL,0x000f,
64782265,38,EOL,0x000f,
68920266,15,ADD,0x001e,
74597414,20,ADD,0x0001,
74895382,1,SUCCESS,0x0014,
75046988,20,CELL_ALLOC,0x0001,slot=1 ch=8 dir=Transmit
75059945,20,SUCCESS,0x0001,
75266205,1,CELL_ALLOC,0x0014,slot=1 ch=8 dir=Receive
87934615,34,LIST,0x0014,
87935051,38,LIST,0x0014,
89202873,20,EOL,0x0026,
89832815,20,EOL,0x0022,
101787356,15,ADD,0x001e,
139785001,15,ADD,0x001e,
154548007,26,LIST,0x000f,
159912798,15,EOL,0x001a,
161115972,9,LIST,0x001e,
162433224,30,EOL,0x0009,
162948475,9,ADD,0x001e,
164839666,26,ADD,0x000f,
172501070,30,LIST,0x0001,
172678464,1,EOL,0x001e,
174677058,30,ADD,0x0001,
174945124,20,LIST,0x0022,
175198166,34,EOL,0x0014,
175696864,1,SUCCESS,0x001e,
175848103,30,CELL_ALLOC,0x0001,slot=20 ch=6 dir=Transmit
175861058,30,SUCCESS,0x0001,
176046861,1,CELL_ALLOC,0x001e,slot=20 ch=6 dir=Receive
186550636,15,ADD,0x001e,
186854911,30,CELL_ALLOC,0x000f,slot=19 ch=9 dir=Receive
186868937,30,SUCCESS,0x000f,
187023008,15,CELL_ALLOC,0x001e,slot=19 ch=9 dir=Transmit
187534633,15,LIST,0x001a,
187633082,26,EOL,0x000f,
191156272,23,LIST,0x0022,
191728214,34,EOL,0x0017,
191928895,23,ADD,0x0022,
192044463,34,CELL_ALLOC,0x0017,slot=12 ch=13 dir=Receive
192058526,34,SUCCESS,0x0017,
192227762,23,CELL_ALLOC,0x0022,slot=12 ch=13 dir=Transmit
199215453,26,ADD,0x000f,
199290310,15,CELL_ALLOC,0x001a,slot=15 ch=11 dir=Receive
199304353,15,SUCCESS,0x001a,
199627199,26,CELL_ALLOC,0x000f,slot=15 ch=11 dir=Transmit
204272248,24,LIST,0x001e,
204494291,30,EOL,0x0018,
204683315,24,ADD,0x001e,
204810593,30,CELL_ALLOC,0x0018,slot=17 ch=15 dir=Receive
204824871,30,SUCCESS,0x0018,
204978110,24,CELL_ALLOC,0x001e,slot=17 ch=15 dir=Transmit
206254982,9,ADD,0x001e,
