sim_time_us,node_id,seq
12281436,20,0
12303621,30,0
12523444,22,0
12593876,34,0
27848259,20,1
27873907,30,1
28161038,34,1
28445282,22,1
42272321,30,2
42972300,34,2
43039019,22,2
43043558,20,2
56890134,30,3
57074818,20,3
57187467,22,3
57695761,38,0
58151998,34,3
71225486,30,4
71859852,38,1
72519205,34,4
72565704,22,4
72881535,20,4
85709821,30,5
86687456,22,5
87143607,20,5
87234822,38,2
87909778,15,0
88050426,34,5
88614557,26,0
100452018,30,6
101758279,38,3
102245748,34,6
102523413,22,6
102754505,20,6
102761359,15,1
103544195,26,1
115828572,38,4
115998883,30,7
117670678,15,2
117862935,34,7
118134178,20,7
118343697,22,7
119192642,26,2
131381735,30,8
131812986,38,5
131848484,15,3
133078144,22,8
133242392,26,3
133558301,34,8
133574871,20,8
145459811,30,9
146727033,38,6
147542608,15,4
147742134,22,9
148206666,34,9
148625484,20,9
148692652,26,4
160880755,30,10
161258279,38,7
162656327,20,10
162659786,15,5
162895757,26,5
163218866,22,10
163464628,34,10
175380756,28,0
175803720,30,11
176539509,38,8
177367284,22,11
177629636,20,11
177661372,26,6
178362911,15,6
178886493,34,11
190573080,38,9
190710000,30,12
191263548,28,1
192074978,20,12
192382949,22,12
192394221,15,7
193605303,34,12
193653599,26,7
205117765,38,10
205329742,28,2
206356188,20,13
206717784,30,13
206953221,22,13
207919224,26,8
208082872,15,8
208980253,34,13
218092053,17,0
219555294,38,11
220841633,28,3
221616211,30,14
221943318,20,14
222507909,22,14
222747320,26,9
222808814,15,9
223066190,34,14
233174229,17,1
234036399,38,12
234114710,24,0
236405332,28,4
236680505,20,15
236757666,30,15
237284967,15,10
237476669,22,15
237773040,34,15
238122450,26,10
247588345,17,2
248216120,38,13
249841301,24,1
250458851,28,5
251464654,15,11
252200011,20,16
252319399,30,16
252648607,22,16
253378753,34,16
253419384,26,11
261619542,17,3
262672462,38,14
262702923,6,0
264400259,24,2
264826018,28,6
265824009,15,12
267437596,22,17
267623039,20,17
267703000,26,12
267742136,34,17
267780264,30,17
276822710,17,4
277828889,38,15
277929966,6,1
278896002,24,3
279265144,28,7
280488061,15,13
281870168,30,18
281949012,34,18
282484495,22,18
282553549,20,18
283583397,26,13
291686035,17,5
292328741,38,16
293064207,24,4
293740101,28,8
293828403,6,2
296428701,30,19
296456811,15,14
296488066,34,19
296692135,20,19
297206277,22,19
299216200,26,14
307306461,17,6
307672492,38,17
308298634,6,3
308451048,28,9
308670270,12,0
308747584,24,5
309218804,25,0
309265551,8,0
310776971,15,15
310797477,30,20
311558417,34,20
311567175,20,20
311953241,22,20
313513114,26,15
321552391,17,7
322876059,38,18
323623622,28,10
323992181,25,1
324137914,2,0
324164361,6,4
324474897,12,1
324476487,8,1
324700689,24,6
325444356,30,21
325527143,15,16
325668688,20,21
327056646,34,21
327146877,22,21
327758454,26,16
336838292,17,8
336984962,38,19
338099261,13,0
338312494,25,2
338357418,28,11
338896013,24,7
339001491,12,2
339434797,2,1
339437424,8,2
339731220,20,22
339750288,6,5
340402123,15,17
340516617,30,22
341546981,22,22
341777138,34,22
342864637,26,17
351688107,38,20
351721094,17,9
352629953,13,1
353055256,25,3
353146003,24,8
353169938,28,12
353349878,12,3
353375961,35,0
353691150,8,3
354224147,6,6
354270260,20,23
354848859,2,2
356196344,22,23
356222446,15,18
356413086,30,23
356480253,34,23
357641941,26,18
366295373,17,10
367192474,13,2
367305294,38,21
367460961,25,4
367692698,35,1
368183369,8,4
368239763,24,9
368443366,28,13
368990552,12,4
369207790,20,24
369820620,6,7
370500136,22,24
370633730,30,24
370794383,2,3
371667768,15,19
371933398,34,24
372599022,26,19
380771697,17,11
381942688,35,2
382192483,13,3
382242121,8,5
382641212,38,22
383038513,25,5
383459839,12,5
383470556,28,14
383919580,24,10
383996279,14,0
384086245,6,8
385121833,20,25
385478607,22,25
386084961,30,25
386575441,2,4
386624413,34,25
386941216,15,20
388052176,26,20
395807172,17,12
396942699,35,3
397942464,13,4
397994931,27,0
398234290,8,6
398240211,28,15
398242775,38,23
398516073,25,6
398844100,12,6
398859359,18,0
399349254,24,11
399613466,14,1
399645251,20,26
399984654,6,9
400917743,34,26
401031346,22,26
401110925,2,5
402006826,30,26
402839614,15,21
402856825,26,21
410611870,17,13
412446223,13,5
412560534,28,16
412786428,35,4
412890540,8,7
413171849,25,7
413351496,18,1
413545532,27,1
413664649,38,24
413678024,12,7
414371132,6,10
414980653,14,2
415091422,24,12
415294162,2,6
415656741,20,27
416122585,34,27
416297822,22,27
416842773,30,27
417745874,15,22
418372440,26,22
425111889,17,14
426833981,28,17
427062454,8,8
427286448,35,5
427343784,25,8
427719747,13,6
427836544,38,25
428318677,12,8
428437939,6,11
428511986,18,2
428629621,27,2
430098400,14,3
430114879,24,13
430639363,2,7
430671991,22,28
430761543,34,28
430936543,30,28
431582790,20,28
432536532,26,23
433691206,15,23
439146776,17,15
441771854,13,7
442552731,28,18
442586525,38,26
442708776,35,6
442867113,8,9
443082041,25,9
443099908,12,9
443674646,27,3
444261870,6,12
444285384,14,4
444417539,18,3
445070410,22,29
445256837,30,29
445489859,24,14
446098860,2,8
446131678,40,0
446495888,34,29
447106198,20,29
447310013,26,24
448847447,15,24
454947827,17,16
456465911,13,8
457021481,28,19
457164177,25,10
457390680,8,10
457445900,38,27
457545341,12,10
457823074,27,4
458169241,35,7
458910340,14,5
459211961,6,13
459484318,18,4
459579768,24,15
459656328,22,30
459989621,10,0
461011494,34,30
461202149,30,30
461341057,2,9
461395252,20,30
461567762,26,25
461576930,40,1
463683364,15,25
470544998,17,17
471309631,13,9
471618220,8,11
471826580,12,11
471833981,28,20
471872374,25,11
471916804,27,5
472594348,38,28
472739583,35,8
