sim_time_us,node_id,time_source,join_priority
2832774,34,0x0001,1
2832775,20,0x0001,1
2832775,22,0x0001,1
2832780,30,0x0001,1
35908291,38,0x0014,2
68668318,15,0x001e,2
75913489,26,0x000f,3
159704059,28,0x0026,3
195614251,17,0x0016,2
214829680,24,0x001e,2
247274832,6,0x001a,4
289799922,12,0x0011,3
289800007,8,0x0022,2
293580092,25,0x0006,5
302085110,2,0x0016,2
320355280,13,0x001c,4
342405754,35,0x000d,5
364455643,14,0x0008,3
368550837,27,0x0006,5
385875667,18,0x0011,3
436906263,40,0x000e,4
444466479,10,0x0012,5
451396327,5,0x0008,3
484156518,9,0x001e,2
532351950,11,0x0028,5
559442281,37,0x000c,4
601967604,39,0x000a,6
618662525,23,0x0022,2
880744685,3,0x0005,4
893974782,16,0x0017,3
984380604,33,0x000d,5
1006430708,7,0x0010,4
1032260971,4,0x0021,6
1049586156,31,0x0009,5
1072896215,41,0x0005,4
1072896226,32,0x0021,6
1432944231,42,0x001f,6
1600840529,19,0x001f,6
1685576244,21,0x0013,7
1715816326,42,0x0012,5
2032709045,29,0x0015,8
2209110301,42,0x0002,4
2600343066,42,0x0001,1
2916291040,42,0x000d,5
3324848711,42,0x0021,6
