sim_time_us,event,detail
445815,BOOT,
10482077,STATUS,tick=1
20489889,STATUS,tick=2
30497701,STATUS,tick=3
40505514,STATUS,tick=4
50513326,STATUS,tick=5
60524111,STATUS,tick=6
70537057,STATUS,tick=7
80544576,STATUS,tick=8
90552389,STATUS,tick=9
100560341,STATUS,tick=10
110568154,STATUS,tick=11
120575986,STATUS,tick=12
130583779,STATUS,tick=13
140591591,STATUS,tick=14
150599677,STATUS,tick=15
160607217,STATUS,tick=16
170615029,STATUS,tick=17
180622861,STATUS,tick=18
190630654,STATUS,tick=19
200638754,STATUS,tick=20
210646279,STATUS,tick=21
220654092,STATUS,tick=22
230662187,STATUS,tick=23
240669736,STATUS,tick=24
250677529,STATUS,tick=25
260685341,STATUS,tick=26
270693154,STATUS,tick=27
280700966,STATUS,tick=28
290708779,STATUS,tick=29
300716612,STATUS,tick=30
310724677,STATUS,tick=31
320732217,STATUS,tick=32
330740030,STATUS,tick=33
340747842,STATUS,tick=34
350755655,STATUS,tick=35
360763764,STATUS,tick=36
370771280,STATUS,tick=37
380779092,STATUS,tick=38
390787188,STATUS,tick=39
400794717,STATUS,tick=40
410802529,STATUS,tick=41
420810362,STATUS,tick=42
430818154,STATUS,tick=43
440825967,STATUS,tick=44
450833779,STATUS,tick=45
460841592,STATUS,tick=46
470849678,STATUS,tick=47
480857237,STATUS,tick=48
490865030,STATUS,tick=49
500872842,STATUS,tick=50
510880655,STATUS,tick=51
520888747,STATUS,tick=52
530896281,STATUS,tick=53
540904113,STATUS,tick=54
550912190,STATUS,tick=55
560919718,STATUS,tick=56
570927531,STATUS,tick=57
580935343,STATUS,tick=58
590943156,STATUS,tick=59
600950988,STATUS,tick=60
610958781,STATUS,tick=61
620966593,STATUS,tick=62
630974680,STATUS,tick=63
640982218,STATUS,tick=64
650990031,STATUS,tick=65
660997863,STATUS,tick=66
671005656,STATUS,tick=67
681013747,STATUS,tick=68
691021281,STATUS,tick=69
701029093,STATUS,tick=70
711037190,STATUS,tick=71
721044738,STATUS,tick=72
731052530,STATUS,tick=73
741060343,STATUS,tick=74
751068155,STATUS,tick=75
761075968,STATUS,tick=76
771083780,STATUS,tick=77
781091613,STATUS,tick=78
791099680,STATUS,tick=79
801107218,STATUS,tick=80
811115030,STATUS,tick=81
821122843,STATUS,tick=82
831130655,STATUS,tick=83
841138766,STATUS,tick=84
851146280,STATUS,tick=85
861154093,STATUS,tick=86
871162189,STATUS,tick=87
881169718,STATUS,tick=88
891177530,STATUS,tick=89
901185371,STATUS,tick=90
911193154,STATUS,tick=91
921200967,STATUS,tick=92
931208779,STATUS,tick=93
941216592,STATUS,tick=94
951224677,STATUS,tick=95
961232237,STATUS,tick=96
971240030,STATUS,tick=97
981247842,STATUS,tick=98
991255655,STATUS,tick=99
1001263920,STATUS,tick=100
1011271456,STATUS,tick=101
1021279288,STATUS,tick=102
1031287364,STATUS,tick=103
1041294893,STATUS,tick=104
1051302705,STATUS,tick=105
1061310518,STATUS,tick=106
1071318330,STATUS,tick=107
1081326163,STATUS,tick=108
1091333955,STATUS,tick=109
1101341815,STATUS,tick=110
1111350141,STATUS,tick=111
1121357394,STATUS,tick=112
1131365206,STATUS,tick=113
1141373039,STATUS,tick=114
1151380831,STATUS,tick=115
1161388931,STATUS,tick=116
1171396456,STATUS,tick=117
1181404269,STATUS,tick=118
1191412730,STATUS,tick=119
